id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,950,4,59.660000000000004,10.775
2,600,960,950,4,59.980000000000004,11.525
3,600,960,950,4,59.980000000000004,11.025
4,600,960,950,4,59.980000000000004,10.525
5,600,960,950,4,60.46,11.275
6,1080,1440,1422,4,59.34,10.775
7,1080,1440,1422,4,59.660000000000004,11.525
8,840,1200,1186,4,60.300000000000004,11.275
9,840,1200,1186,4,60.14,11.525
10,840,1200,1186,4,60.14,10.775
11,840,1200,1186,4,60.300000000000004,11.275
12,840,1200,1186,4,60.14,11.775
13,840,1200,1186,4,60.14,11.275
14,840,1200,1186,4,59.980000000000004,11.025
15,360,720,714,4,59.660000000000004,10.775
16,360,720,714,4,59.980000000000004,11.025
17,360,720,714,4,60.46,11.525
18,360,720,714,4,60.46,10.775
19,360,720,714,4,60.300000000000004,11.025
20,360,720,714,4,60.46,11.025
