id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,950,4,60.020799999999994,11.0775
2,600,960,950,4,59.8652,11.0775
3,600,960,950,4,60.331999999999994,11.3285
4,600,960,950,4,60.020799999999994,10.826500000000001
5,600,960,950,4,59.709599999999995,10.5755
6,600,960,950,4,59.709599999999995,10.826500000000001
7,600,960,950,4,60.1764,11.0775
8,600,960,950,4,60.020799999999994,11.0775
9,600,960,950,4,60.331999999999994,11.0775
10,600,960,950,4,59.8652,10.5755
11,1080,1440,1422,4,59.8652,11.5795
12,1080,1440,1422,4,59.8652,11.5795
13,1080,1440,1422,4,60.1764,11.0775
14,1080,1440,1422,4,59.709599999999995,11.0775
15,1080,1440,1422,4,59.8652,11.8305
16,1080,1440,1422,4,59.8652,11.0775
17,840,1200,1186,4,59.709599999999995,11.0775
18,840,1200,1186,4,60.020799999999994,10.5755
19,840,1200,1186,4,59.554,10.826500000000001
20,840,1200,1186,4,60.020799999999994,11.5795
21,840,1200,1186,4,60.020799999999994,11.0775
22,840,1200,1186,4,60.020799999999994,11.3285
23,840,1200,1186,4,59.709599999999995,11.3285
24,840,1200,1186,4,60.1764,11.0775
25,840,1200,1186,4,60.331999999999994,11.3285
26,840,1200,1186,4,59.709599999999995,11.3285
27,840,1200,1186,4,59.709599999999995,11.5795
28,840,1200,1186,4,60.020799999999994,11.0775
29,840,1200,1186,4,60.020799999999994,11.3285
30,840,1200,1186,4,59.554,10.826500000000001
31,840,1200,1186,4,59.554,10.5755
32,840,1200,1186,4,59.398399999999995,10.5755
33,840,1200,1186,4,59.8652,11.0775
34,840,1200,1186,4,60.4876,11.3285
35,840,1200,1186,4,60.1764,11.0775
36,840,1200,1186,4,59.8652,10.5755
37,840,1200,1186,4,60.1764,11.3285
38,840,1200,1186,4,60.020799999999994,11.0775
39,360,720,714,4,60.020799999999994,11.8305
40,360,720,714,4,59.8652,11.3285
41,360,720,714,4,60.1764,11.5795
42,360,720,714,4,60.020799999999994,11.3285
43,360,720,714,4,59.8652,11.0775
44,360,720,714,4,59.554,10.826500000000001
45,360,720,714,4,59.709599999999995,10.5755
46,360,720,714,4,60.1764,11.5795
47,360,720,714,4,60.331999999999994,11.3285
48,360,720,714,4,59.8652,11.0775
49,360,720,714,4,60.331999999999994,11.3285
50,360,720,714,4,60.64319999999999,11.3285
51,360,720,714,4,59.8652,11.5795
52,360,720,714,4,60.020799999999994,10.3245
53,360,720,714,4,60.331999999999994,11.0775
54,360,720,714,4,60.020799999999994,11.3285
55,360,720,714,4,60.4876,10.826500000000001
