id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,950,4,59.943,11.203
2,600,960,950,4,59.6318,11.705
3,600,960,950,4,59.6318,11.203
4,600,960,950,4,59.6318,10.701
5,600,960,950,4,60.5654,11.203
6,600,960,950,4,59.943,12.207
7,1080,1440,1422,4,60.5654,10.701
8,1080,1440,1422,4,60.2542,11.203
9,1080,1440,1422,4,59.943,11.203
10,1080,1440,1422,4,59.943,11.203
11,1080,1440,1422,4,60.2542,11.705
12,840,1200,1186,4,60.2542,11.203
13,840,1200,1186,4,60.2542,11.203
14,840,1200,1186,4,60.5654,11.203
15,840,1200,1186,4,59.943,11.203
16,840,1200,1186,4,59.943,10.701
17,840,1200,1186,4,59.3206,10.701
18,840,1200,1186,4,59.6318,10.701
19,840,1200,1186,4,59.6318,10.701
20,840,1200,1186,4,60.5654,10.701
21,840,1200,1186,4,59.6318,10.701
22,840,1200,1186,4,59.943,10.701
23,840,1200,1186,4,59.943,11.203
24,840,1200,1186,4,59.943,11.203
25,840,1200,1186,4,60.2542,11.203
26,840,1200,1186,4,59.943,10.701
27,840,1200,1186,4,59.943,11.203
28,840,1200,1186,4,59.6318,10.701
29,840,1200,1186,4,59.943,11.203
30,840,1200,1186,4,59.943,11.203
31,840,1200,1186,4,59.6318,10.701
32,840,1200,1186,4,59.6318,11.203
33,840,1200,1186,4,59.6318,10.701
34,360,720,714,4,59.943,12.207
35,360,720,714,4,59.6318,10.701
36,360,720,714,4,59.943,11.203
37,360,720,714,4,60.2542,11.203
38,360,720,714,4,60.5654,10.701
39,360,720,714,4,60.5654,11.203
40,360,720,714,4,60.2542,11.203
41,360,720,714,4,59.943,11.203
42,360,720,714,4,60.2542,11.705
43,360,720,714,4,59.943,10.701
44,360,720,714,4,59.943,11.705
45,360,720,714,4,59.943,11.203
46,360,720,714,4,60.2542,11.203
47,360,720,714,4,59.943,11.203
48,360,720,714,4,59.943,10.701
49,360,720,714,4,59.6318,10.701
50,360,720,714,4,60.5654,11.203
51,360,720,714,4,60.2542,11.705
52,360,720,714,4,59.6318,10.701
53,360,720,714,4,59.6318,10.701
54,360,720,714,4,59.6318,10.701
55,360,720,714,4,60.5654,11.203
56,360,720,714,4,59.943,11.203
57,360,720,714,4,60.2542,11.203
58,360,720,714,4,59.6318,10.701
