id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,6,4,59.748127038276394,11.15005338646723
2,1080,1440,6,4,60.32101309002473,11.218610682837852
3,840,1200,6,4,60.253614730995515,11.26145899306949
4,840,1200,6,4,60.30416350026743,11.278598317162148
5,840,1200,6,4,60.012103944474156,10.978660145540674
6,840,1200,6,4,60.46142633800226,11.132914062374574
7,840,1200,6,4,59.663879089489875,11.10720507623559
8,840,1200,6,4,60.096351893260675,11.252889331023164
9,360,720,6,4,60.292930440429224,11.287167979208474
10,360,720,6,4,60.034570064150564,11.021508455772313
11,360,720,6,4,60.24238167115731,11.604245474922605
12,360,720,6,4,60.14690066253259,11.518548854459326
13,360,720,6,4,59.93908905552584,11.141483724420903
14,360,720,6,4,60.47265939784047,10.99579946963333
15,360,720,6,4,60.28731391051012,11.11577473828192
16,360,720,6,4,59.93347252560674,10.901533187123723
17,360,720,6,4,59.927855995687636,10.944381497355362
18,360,720,6,4,60.10758495309888,11.475700544227687
19,360,720,6,4,59.80990886738651,11.038647779864968
