id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,950,4,60.1764,11.0775
2,600,960,950,4,60.331999999999994,11.3285
3,600,960,950,4,60.1764,11.3285
4,600,960,950,4,60.020799999999994,10.5755
5,1080,1440,1422,4,59.554,11.5795
6,1080,1440,1422,4,59.8652,10.826500000000001
7,840,1200,1186,4,60.020799999999994,11.5795
8,840,1200,1186,4,60.331999999999994,11.3285
9,840,1200,1186,4,60.1764,11.0775
10,840,1200,1186,4,60.1764,11.5795
11,840,1200,1186,4,60.4876,11.3285
12,840,1200,1186,4,60.4876,10.826500000000001
13,840,1200,1186,4,60.1764,11.3285
14,360,720,714,4,60.020799999999994,11.3285
15,360,720,714,4,59.398399999999995,10.826500000000001
16,360,720,714,4,60.020799999999994,11.0775
17,360,720,714,4,60.4876,11.0775
18,360,720,714,4,60.020799999999994,11.5795
19,360,720,714,4,59.709599999999995,11.3285
20,360,720,714,4,60.1764,11.3285
