id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,950,4,60.64319999999999,11.0775
2,600,960,950,4,60.1764,11.0775
3,600,960,950,4,60.331999999999994,11.3285
4,600,960,950,4,60.64319999999999,11.0775
5,600,960,950,4,59.554,10.826500000000001
6,600,960,950,4,60.1764,11.0775
7,600,960,950,4,60.1764,11.3285
8,600,960,950,4,60.1764,11.0775
9,600,960,950,4,59.8652,11.0775
10,600,960,950,4,59.8652,11.3285
11,600,960,950,4,59.8652,11.3285
12,600,960,950,4,60.020799999999994,11.3285
13,600,960,950,4,60.4876,11.3285
14,600,960,950,4,60.020799999999994,10.826500000000001
15,600,960,950,4,59.8652,10.826500000000001
16,600,960,950,4,59.709599999999995,11.0775
17,600,960,950,4,59.709599999999995,10.826500000000001
18,600,960,950,4,60.1764,11.0775
19,1080,1440,1422,4,59.709599999999995,10.826500000000001
20,1080,1440,1422,4,60.1764,11.0775
21,1080,1440,1422,4,59.8652,10.3245
22,1080,1440,1422,4,60.331999999999994,11.0775
23,1080,1440,1422,4,59.709599999999995,10.826500000000001
24,1080,1440,1422,4,59.8652,11.3285
25,1080,1440,1422,4,60.4876,11.0775
26,1080,1440,1422,4,59.8652,11.0775
27,1080,1440,1422,4,60.4876,11.3285
28,1080,1440,1422,4,59.8652,11.3285
29,840,1200,1186,4,60.020799999999994,10.826500000000001
30,840,1200,1186,4,60.331999999999994,11.3285
31,840,1200,1186,4,60.331999999999994,11.3285
32,840,1200,1186,4,60.1764,11.3285
33,840,1200,1186,4,59.554,10.826500000000001
34,840,1200,1186,4,59.709599999999995,10.826500000000001
35,840,1200,1186,4,60.020799999999994,11.5795
36,840,1200,1186,4,60.1764,11.3285
37,840,1200,1186,4,60.020799999999994,11.3285
38,840,1200,1186,4,60.1764,11.8305
39,840,1200,1186,4,60.331999999999994,11.0775
40,840,1200,1186,4,60.4876,11.0775
41,840,1200,1186,4,59.8652,10.826500000000001
42,840,1200,1186,4,59.8652,11.5795
43,840,1200,1186,4,59.8652,10.826500000000001
44,840,1200,1186,4,60.331999999999994,11.0775
45,840,1200,1186,4,60.331999999999994,11.3285
46,840,1200,1186,4,60.331999999999994,11.3285
47,840,1200,1186,4,60.020799999999994,11.3285
48,840,1200,1186,4,60.020799999999994,11.5795
49,840,1200,1186,4,59.709599999999995,10.5755
50,840,1200,1186,4,60.331999999999994,11.0775
51,840,1200,1186,4,59.554,10.5755
52,840,1200,1186,4,59.554,10.826500000000001
53,840,1200,1186,4,59.554,10.5755
54,840,1200,1186,4,59.709599999999995,10.5755
55,840,1200,1186,4,60.020799999999994,10.826500000000001
56,840,1200,1186,4,60.1764,11.3285
57,840,1200,1186,4,59.554,10.826500000000001
58,840,1200,1186,4,59.8652,11.0775
59,840,1200,1186,4,60.64319999999999,10.826500000000001
60,840,1200,1186,4,59.554,10.5755
61,840,1200,1186,4,60.020799999999994,10.826500000000001
62,840,1200,1186,4,59.554,10.826500000000001
63,840,1200,1186,4,59.709599999999995,10.826500000000001
64,840,1200,1186,4,59.709599999999995,10.3245
65,840,1200,1186,4,60.1764,11.0775
66,840,1200,1186,4,59.554,10.826500000000001
67,840,1200,1186,4,59.8652,11.0775
68,840,1200,1186,4,59.709599999999995,10.826500000000001
69,360,720,714,4,60.1764,11.0775
70,360,720,714,4,59.709599999999995,10.5755
71,360,720,714,4,59.709599999999995,11.3285
72,360,720,714,4,59.8652,11.3285
73,360,720,714,4,59.8652,11.3285
74,360,720,714,4,60.331999999999994,11.0775
75,360,720,714,4,59.8652,11.0775
76,360,720,714,4,60.020799999999994,11.0775
77,360,720,714,4,60.020799999999994,11.0775
78,360,720,714,4,59.709599999999995,10.5755
79,360,720,714,4,59.8652,11.3285
80,360,720,714,4,59.554,10.5755
81,360,720,714,4,59.709599999999995,10.5755
82,360,720,714,4,60.1764,11.5795
83,360,720,714,4,59.554,11.3285
84,360,720,714,4,60.331999999999994,10.826500000000001
85,360,720,714,4,60.020799999999994,10.826500000000001
86,360,720,714,4,60.331999999999994,11.3285
87,360,720,714,4,60.1764,11.0775
88,360,720,714,4,60.1764,11.5795
89,360,720,714,4,59.8652,11.5795
90,360,720,714,4,60.1764,11.0775
91,360,720,714,4,59.709599999999995,10.826500000000001
92,360,720,714,4,59.554,10.826500000000001
93,360,720,714,4,59.709599999999995,10.826500000000001
94,360,720,714,4,60.1764,11.0775
95,360,720,714,4,59.554,10.826500000000001
96,360,720,714,4,59.8652,11.3285
97,360,720,714,4,59.8652,11.3285
