id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,950,4,59.709599999999995,11.5795
2,600,960,950,4,60.331999999999994,11.5795
3,600,960,950,4,59.8652,10.826500000000001
4,600,960,950,4,59.554,10.826500000000001
5,600,960,950,4,60.020799999999994,11.5795
6,600,960,950,4,59.8652,11.3285
7,600,960,950,4,59.554,11.3285
8,600,960,950,4,60.4876,11.0775
9,600,960,950,4,60.331999999999994,11.0775
10,600,960,950,4,60.1764,11.3285
11,1080,1440,1422,4,60.331999999999994,11.3285
12,1080,1440,1422,4,59.554,10.5755
13,1080,1440,1422,4,60.020799999999994,10.826500000000001
14,1080,1440,1422,4,60.020799999999994,11.0775
15,1080,1440,1422,4,60.020799999999994,11.0775
16,1080,1440,1422,4,60.020799999999994,11.3285
17,1080,1440,1422,4,60.020799999999994,10.3245
18,840,1200,1186,4,60.020799999999994,11.0775
19,840,1200,1186,4,60.1764,11.3285
20,840,1200,1186,4,60.020799999999994,11.5795
21,840,1200,1186,4,59.709599999999995,10.826500000000001
22,840,1200,1186,4,60.1764,11.0775
23,840,1200,1186,4,60.020799999999994,11.3285
24,840,1200,1186,4,60.331999999999994,11.3285
25,840,1200,1186,4,60.020799999999994,11.5795
26,840,1200,1186,4,60.020799999999994,10.826500000000001
27,840,1200,1186,4,60.020799999999994,10.826500000000001
28,840,1200,1186,4,60.1764,11.3285
29,840,1200,1186,4,59.554,10.5755
30,840,1200,1186,4,60.1764,11.0775
31,840,1200,1186,4,60.331999999999994,11.0775
32,840,1200,1186,4,59.8652,11.3285
33,840,1200,1186,4,59.8652,10.5755
34,840,1200,1186,4,59.554,10.5755
35,840,1200,1186,4,60.1764,11.3285
36,840,1200,1186,4,60.331999999999994,11.0775
37,840,1200,1186,4,60.1764,11.0775
38,840,1200,1186,4,59.8652,11.5795
39,840,1200,1186,4,59.709599999999995,10.826500000000001
40,840,1200,1186,4,60.020799999999994,11.3285
41,840,1200,1186,4,60.4876,11.0775
42,360,720,714,4,60.020799999999994,11.5795
43,360,720,714,4,59.709599999999995,11.5795
44,360,720,714,4,59.554,10.826500000000001
45,360,720,714,4,59.8652,11.0775
46,360,720,714,4,60.020799999999994,10.5755
47,360,720,714,4,60.020799999999994,11.3285
48,360,720,714,4,60.331999999999994,11.0775
49,360,720,714,4,60.020799999999994,10.826500000000001
50,360,720,714,4,60.1764,11.3285
51,360,720,714,4,59.554,10.5755
52,360,720,714,4,60.1764,11.0775
53,360,720,714,4,59.554,10.5755
54,360,720,714,4,59.8652,11.3285
55,360,720,714,4,60.4876,11.0775
56,360,720,714,4,60.331999999999994,11.0775
57,360,720,714,4,60.020799999999994,11.0775
58,360,720,714,4,60.020799999999994,11.3285
59,360,720,714,4,60.1764,10.826500000000001
60,360,720,714,4,60.1764,11.8305
