id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,950,4,59.8652,10.5755
2,600,960,950,4,60.020799999999994,10.826500000000001
3,600,960,950,4,60.331999999999994,11.3285
4,600,960,950,4,60.020799999999994,10.826500000000001
5,600,960,950,4,60.4876,10.826500000000001
6,600,960,950,4,60.1764,11.0775
7,600,960,950,4,59.8652,11.8305
8,600,960,950,4,60.331999999999994,11.0775
9,600,960,950,4,59.709599999999995,10.826500000000001
10,600,960,950,4,60.331999999999994,10.826500000000001
11,600,960,950,4,59.554,10.5755
12,1080,1440,1422,4,60.331999999999994,11.0775
13,1080,1440,1422,4,60.020799999999994,10.826500000000001
14,1080,1440,1422,4,59.554,10.826500000000001
15,1080,1440,1422,4,59.709599999999995,10.826500000000001
16,1080,1440,1422,4,59.709599999999995,11.8305
17,1080,1440,1422,4,59.8652,10.826500000000001
18,1080,1440,1422,4,59.554,10.826500000000001
19,840,1200,1186,4,60.4876,11.0775
20,840,1200,1186,4,60.020799999999994,10.5755
21,840,1200,1186,4,60.331999999999994,11.0775
22,840,1200,1186,4,59.8652,11.5795
23,840,1200,1186,4,59.8652,10.5755
24,840,1200,1186,4,60.1764,11.5795
25,840,1200,1186,4,60.4876,11.3285
26,840,1200,1186,4,60.020799999999994,11.0775
27,840,1200,1186,4,59.8652,11.3285
28,840,1200,1186,4,59.709599999999995,10.5755
29,840,1200,1186,4,60.1764,11.0775
30,840,1200,1186,4,59.709599999999995,10.826500000000001
31,840,1200,1186,4,59.709599999999995,10.826500000000001
32,840,1200,1186,4,59.709599999999995,10.5755
33,840,1200,1186,4,60.4876,11.0775
34,840,1200,1186,4,60.331999999999994,11.0775
35,840,1200,1186,4,59.8652,11.0775
36,840,1200,1186,4,59.8652,11.0775
37,840,1200,1186,4,59.8652,10.5755
38,840,1200,1186,4,60.331999999999994,10.826500000000001
39,840,1200,1186,4,59.554,10.826500000000001
40,840,1200,1186,4,60.4876,11.3285
41,840,1200,1186,4,59.709599999999995,10.5755
42,360,720,714,4,60.020799999999994,11.0775
43,360,720,714,4,60.020799999999994,11.3285
44,360,720,714,4,60.020799999999994,11.0775
45,360,720,714,4,59.8652,11.0775
46,360,720,714,4,59.709599999999995,11.5795
47,360,720,714,4,60.020799999999994,11.0775
48,360,720,714,4,60.020799999999994,11.3285
49,360,720,714,4,59.8652,11.8305
50,360,720,714,4,59.554,11.0775
51,360,720,714,4,60.1764,11.3285
52,360,720,714,4,60.331999999999994,11.5795
53,360,720,714,4,59.709599999999995,10.826500000000001
54,360,720,714,4,60.4876,11.0775
55,360,720,714,4,60.331999999999994,11.0775
56,360,720,714,4,60.020799999999994,11.0775
57,360,720,714,4,60.331999999999994,11.3285
58,360,720,714,4,59.8652,10.5755
59,360,720,714,4,59.554,10.3245
60,360,720,714,4,60.331999999999994,11.3285
