id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,950,4,60.331999999999994,10.826500000000001
2,600,960,950,4,59.709599999999995,11.5795
3,600,960,950,4,60.020799999999994,10.3245
4,600,960,950,4,60.020799999999994,11.0775
5,600,960,950,4,59.8652,11.0775
6,600,960,950,4,59.8652,11.3285
7,600,960,950,4,59.8652,11.8305
8,600,960,950,4,59.8652,11.3285
9,600,960,950,4,60.020799999999994,11.3285
10,600,960,950,4,60.1764,11.3285
11,600,960,950,4,60.1764,11.3285
12,600,960,950,4,59.709599999999995,11.0775
13,600,960,950,4,60.331999999999994,11.0775
14,600,960,950,4,59.398399999999995,10.826500000000001
15,1080,1440,1422,4,59.8652,10.826500000000001
16,1080,1440,1422,4,59.709599999999995,10.826500000000001
17,1080,1440,1422,4,60.1764,11.0775
18,1080,1440,1422,4,60.020799999999994,11.3285
19,1080,1440,1422,4,60.020799999999994,11.0775
20,1080,1440,1422,4,59.8652,10.826500000000001
21,1080,1440,1422,4,60.4876,11.3285
22,1080,1440,1422,4,59.8652,11.5795
23,840,1200,1186,4,60.020799999999994,10.826500000000001
24,840,1200,1186,4,59.8652,11.0775
25,840,1200,1186,4,59.8652,11.3285
26,840,1200,1186,4,59.8652,11.8305
27,840,1200,1186,4,60.020799999999994,11.3285
28,840,1200,1186,4,59.8652,11.0775
29,840,1200,1186,4,59.8652,11.0775
30,840,1200,1186,4,60.331999999999994,11.3285
31,840,1200,1186,4,60.020799999999994,10.3245
32,840,1200,1186,4,60.1764,11.8305
33,840,1200,1186,4,59.554,11.5795
34,840,1200,1186,4,59.554,10.826500000000001
35,840,1200,1186,4,59.8652,11.3285
36,840,1200,1186,4,60.331999999999994,11.0775
37,840,1200,1186,4,59.709599999999995,11.0775
38,840,1200,1186,4,59.8652,10.826500000000001
39,840,1200,1186,4,60.1764,11.0775
40,840,1200,1186,4,59.8652,10.3245
41,840,1200,1186,4,60.1764,11.5795
42,840,1200,1186,4,59.554,10.5755
43,840,1200,1186,4,60.4876,11.3285
44,840,1200,1186,4,59.709599999999995,10.5755
45,840,1200,1186,4,59.554,10.826500000000001
46,840,1200,1186,4,59.398399999999995,10.5755
47,840,1200,1186,4,60.020799999999994,11.8305
48,840,1200,1186,4,59.8652,11.3285
49,840,1200,1186,4,60.1764,11.5795
50,840,1200,1186,4,60.331999999999994,10.826500000000001
51,840,1200,1186,4,59.554,10.5755
52,840,1200,1186,4,60.331999999999994,11.0775
53,840,1200,1186,4,59.554,10.826500000000001
54,840,1200,1186,4,59.8652,10.5755
55,840,1200,1186,4,60.020799999999994,11.0775
56,840,1200,1186,4,60.020799999999994,11.3285
57,840,1200,1186,4,59.709599999999995,10.826500000000001
58,840,1200,1186,4,60.1764,11.0775
59,840,1200,1186,4,60.020799999999994,11.3285
60,840,1200,1186,4,59.8652,11.0775
61,360,720,714,4,59.8652,11.5795
62,360,720,714,4,60.020799999999994,10.5755
63,360,720,714,4,59.709599999999995,10.5755
64,360,720,714,4,60.331999999999994,10.826500000000001
65,360,720,714,4,60.64319999999999,10.826500000000001
66,360,720,714,4,60.020799999999994,11.0775
67,360,720,714,4,60.4876,11.3285
68,360,720,714,4,60.1764,11.3285
69,360,720,714,4,60.020799999999994,11.3285
70,360,720,714,4,59.554,10.826500000000001
71,360,720,714,4,59.554,11.3285
72,360,720,714,4,59.8652,11.0775
73,360,720,714,4,60.020799999999994,11.5795
74,360,720,714,4,60.020799999999994,10.826500000000001
75,360,720,714,4,60.1764,11.3285
76,360,720,714,4,60.020799999999994,10.5755
77,360,720,714,4,59.8652,11.0775
78,360,720,714,4,60.331999999999994,11.3285
79,360,720,714,4,60.331999999999994,11.0775
80,360,720,714,4,59.8652,11.0775
81,360,720,714,4,60.020799999999994,11.5795
82,360,720,714,4,60.1764,11.8305
83,360,720,714,4,60.020799999999994,11.5795
84,360,720,714,4,60.020799999999994,11.8305
85,360,720,714,4,59.709599999999995,10.826500000000001
86,360,720,714,4,59.8652,11.5795
87,360,720,714,4,59.554,10.5755
88,360,720,714,4,60.331999999999994,11.3285
89,360,720,714,4,60.1764,11.3285
90,360,720,714,4,60.1764,11.3285
91,360,720,714,4,60.331999999999994,11.3285
92,360,720,714,4,59.8652,11.0775
