id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,950,4,59.8652,11.5795
2,600,960,950,4,59.8652,10.826500000000001
3,600,960,950,4,59.554,10.5755
4,600,960,950,4,60.020799999999994,11.0775
5,600,960,950,4,59.8652,11.0775
6,600,960,950,4,59.8652,10.826500000000001
7,600,960,950,4,60.1764,11.0775
8,600,960,950,4,59.8652,10.826500000000001
9,600,960,950,4,59.8652,10.5755
10,600,960,950,4,60.020799999999994,11.5795
11,600,960,950,4,60.020799999999994,10.826500000000001
12,600,960,950,4,59.8652,11.8305
13,600,960,950,4,60.1764,11.0775
14,600,960,950,4,60.1764,11.5795
15,600,960,950,4,60.1764,11.5795
16,600,960,950,4,59.709599999999995,10.5755
17,1080,1440,1422,4,60.020799999999994,10.826500000000001
18,1080,1440,1422,4,60.331999999999994,11.3285
19,1080,1440,1422,4,59.8652,11.3285
20,1080,1440,1422,4,60.1764,10.5755
21,1080,1440,1422,4,60.020799999999994,10.5755
22,1080,1440,1422,4,60.020799999999994,10.826500000000001
23,1080,1440,1422,4,59.709599999999995,10.5755
24,1080,1440,1422,4,59.8652,10.5755
25,840,1200,1186,4,59.554,10.826500000000001
26,840,1200,1186,4,59.8652,12.0815
27,840,1200,1186,4,60.1764,11.0775
28,840,1200,1186,4,60.331999999999994,11.0775
29,840,1200,1186,4,60.1764,11.5795
30,840,1200,1186,4,60.331999999999994,11.8305
31,840,1200,1186,4,60.331999999999994,11.0775
32,840,1200,1186,4,60.020799999999994,11.3285
33,840,1200,1186,4,60.020799999999994,11.0775
34,840,1200,1186,4,60.1764,11.3285
35,840,1200,1186,4,60.1764,11.5795
36,840,1200,1186,4,59.8652,11.0775
37,840,1200,1186,4,59.709599999999995,11.0775
38,840,1200,1186,4,59.709599999999995,10.5755
39,840,1200,1186,4,60.020799999999994,10.826500000000001
40,840,1200,1186,4,60.64319999999999,11.0775
41,840,1200,1186,4,60.020799999999994,12.0815
42,840,1200,1186,4,60.331999999999994,11.3285
43,840,1200,1186,4,59.554,10.5755
44,840,1200,1186,4,59.8652,11.5795
45,840,1200,1186,4,59.8652,11.0775
46,840,1200,1186,4,60.020799999999994,11.3285
47,840,1200,1186,4,60.331999999999994,11.3285
48,840,1200,1186,4,60.4876,11.0775
49,840,1200,1186,4,60.020799999999994,10.826500000000001
50,840,1200,1186,4,60.020799999999994,11.5795
51,840,1200,1186,4,59.8652,11.0775
52,840,1200,1186,4,59.8652,10.826500000000001
53,840,1200,1186,4,60.020799999999994,11.0775
54,840,1200,1186,4,60.1764,11.0775
55,840,1200,1186,4,60.331999999999994,10.826500000000001
56,840,1200,1186,4,59.8652,11.0775
57,840,1200,1186,4,60.331999999999994,11.0775
58,840,1200,1186,4,60.020799999999994,11.0775
59,840,1200,1186,4,60.020799999999994,11.3285
60,840,1200,1186,4,59.709599999999995,11.5795
61,840,1200,1186,4,60.020799999999994,11.3285
62,360,720,714,4,60.331999999999994,11.3285
63,360,720,714,4,60.020799999999994,11.5795
64,360,720,714,4,60.020799999999994,11.0775
65,360,720,714,4,60.1764,11.0775
66,360,720,714,4,59.8652,10.5755
67,360,720,714,4,60.4876,11.5795
68,360,720,714,4,59.8652,10.826500000000001
69,360,720,714,4,60.1764,11.8305
70,360,720,714,4,60.331999999999994,11.0775
71,360,720,714,4,59.709599999999995,11.0775
72,360,720,714,4,59.554,10.5755
73,360,720,714,4,60.1764,12.3325
74,360,720,714,4,59.8652,10.5755
75,360,720,714,4,59.554,10.5755
76,360,720,714,4,60.020799999999994,10.826500000000001
77,360,720,714,4,60.331999999999994,11.5795
78,360,720,714,4,59.554,10.826500000000001
79,360,720,714,4,59.554,10.826500000000001
80,360,720,714,4,60.1764,11.3285
81,360,720,714,4,60.020799999999994,11.5795
82,360,720,714,4,59.398399999999995,12.3325
83,360,720,714,4,60.4876,11.0775
84,360,720,714,4,60.1764,11.0775
85,360,720,714,4,59.8652,11.0775
86,360,720,714,4,60.020799999999994,11.3285
87,360,720,714,4,60.020799999999994,11.0775
88,360,720,714,4,60.331999999999994,11.5795
89,360,720,714,4,59.709599999999995,11.0775
90,360,720,714,4,59.709599999999995,11.0775
91,360,720,714,4,60.331999999999994,10.826500000000001
92,360,720,714,4,60.020799999999994,10.826500000000001
