id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,request_type,request_time,mobility_type,call_time,direct_drive_time
1,59.930198,10.609404,59.910767,10.542664,0,540,Walking,366.0,12
2,59.910767,10.542664,59.930198,10.609404,1,920,Walking,562.0,0
3,59.959034,10.358874,59.874773,10.498504,0,540,Walking,0.0,0
4,59.874773,10.498504,59.959034,10.358874,1,870,Walking,0.0,0
5,59.926579,10.435982,59.925662,10.452647,0,420,Walking,0.0,0
6,59.604146,10.749486,59.589146,10.666161,1,880,Walking,383.0,0
7,59.664603,10.767295,59.685945,10.753603,1,1055,Walking,912.0,0
8,59.7654,10.8832,59.750213,10.836925,0,420,Walking,0.0,0
9,59.71047,11.195313,59.763913,11.146744,0,420,Walking,0.0,0
10,59.734211,11.130775,59.71047,11.195313,1,965,Walking,392.0,0
11,59.780433,11.17557,60.101929,11.064498,1,905,Walking,0.0,0
12,59.569626,10.840697,59.604056,10.749636,0,420,Walking,0.0,0
13,59.604056,10.749636,59.569626,10.840697,1,1050,Walking,611.0,0
14,59.604056,10.749636,59.631012,10.763176,1,955,Walking,660.0,0
15,59.501431,10.686709,59.673779,10.655563,0,420,Walking,0.0,0
16,59.687647,10.775284,59.717324,10.776427,0,420,Walking,0.0,0
17,59.799573,11.471548,59.927453,11.441955,0,720,Walking,453.0,27
18,59.927453,11.441955,59.799573,11.471548,1,910,Walking,771.0,0
19,59.949883,11.01193,59.975335,10.999218,1,600,Walking,449.0,0
20,59.988342,11.105303,59.929512,10.961269,1,920,WheelChair,462.0,0
21,59.95472,11.046121,59.9976,11.0178,1,900,Walking,0.0,0
22,59.9976,11.0178,59.95472,11.046121,0,480,Walking,360.0,0
23,60.002683,11.030508,59.922336,10.959432,1,880,Walking,400.0,0
24,59.922336,10.959432,59.965418,11.040337,1,900,Walking,394.0,0
25,59.965418,11.040337,59.922336,10.959432,1,500,Walking,366.0,0
26,59.962767,11.490105,59.982423,11.522346,1,1040,Walking,0.0,0
27,59.982423,11.522346,59.962767,11.490105,0,420,Walking,0.0,0
28,59.723207,11.466514,60.120953,11.46483,0,480,Walking,360.0,0
29,60.002683,11.030508,59.932497,11.127337,1,880,Walking,539.0,0
30,59.995366,11.018009,59.917918,10.74313,0,480,Walking,360.0,0
31,59.917918,10.74313,59.995366,11.018009,1,945,Walking,570.0,0
32,59.925523,11.065997,59.919986,10.978436,0,480,Walking,360.0,0
33,59.919986,10.978436,59.925523,11.065997,1,800,Walking,581.0,0
34,59.946029,11.210642,59.985346,11.240226,0,420,Walking,0.0,0
35,59.962767,11.490105,59.985844,11.509855,1,1040,Walking,712.0,0
36,59.952239,11.046182,60.360484,11.357238,1,900,Walking,414.0,0
37,60.08722,10.993415,59.929512,10.961269,1,935,Walking,366.0,0
38,59.699878,11.407882,59.727039,11.418596,0,420,Walking,0.0,0
39,59.928919,11.177064,59.941031,11.208179,1,920,Walking,538.0,0
40,59.941031,11.208179,59.928919,11.177064,0,480,Walking,360.0,0
41,59.697891,11.415723,59.727039,11.418596,0,420,Walking,0.0,0
42,60.29276,11.156628,60.319561,11.247243,0,540,Walking,366.0,12
43,60.319561,11.247243,60.29276,11.156628,1,910,Walking,604.0,0
44,60.251924,11.190737,60.155502,11.129748,1,910,Walking,0.0,0
45,60.155502,11.129748,60.251924,11.190737,0,480,Walking,360.0,0
46,60.121457,11.099291,60.141813,11.176445,0,420,Walking,0.0,0
47,60.141813,11.176445,60.121457,11.099291,1,1030,Walking,773.0,0
48,60.021727,11.16407,60.022712,11.103292,0,420,Walking,0.0,0
49,60.120953,11.46483,59.723207,11.466514,1,900,Walking,0.0,0
50,60.439056,10.971875,60.4107,11.0593,0,420,Walking,0.0,0
51,60.4107,11.0593,60.439056,10.971875,1,1055,Walking,622.0,0
52,60.404827,11.245206,60.301399,11.167248,0,420,Walking,0.0,0
53,60.4107,11.0593,60.445138,10.964783,1,930,Walking,680.0,0
54,60.445138,10.964783,60.4107,11.0593,0,420,Walking,0.0,0
55,60.392616,11.214552,60.146554,11.18365,0,480,Walking,360.0,0
56,60.017084,11.406265,59.944864,10.86324,0,1320,Walking,515.0,45
57,60.404994,11.243892,60.328985,11.248871,0,420,Walking,0.0,0
58,60.328985,11.248871,60.404994,11.243892,1,1020,Walking,379.0,0
59,60.101929,11.064498,59.780433,11.17557,0,600,Walking,393.0,58
60,59.981093,11.23648,59.933735,10.792274,0,420,Walking,0.0,0
61,59.933735,10.792274,59.981093,11.23648,1,930,Walking,697.0,0
62,60.02092,11.226297,60.069193,11.265125,1,1050,Walking,883.0,0
63,60.425548,10.988553,60.4107,11.0593,0,420,Walking,0.0,0
64,60.360484,11.357238,59.952239,11.046182,0,540,Walking,361.0,57
65,59.929512,10.961269,60.066166,11.037068,1,490,Walking,362.0,0
66,60.253327,11.59704,60.233793,11.561111,0,420,Walking,0.0,0
67,60.449762,10.801898,60.4107,11.0593,0,420,Walking,0.0,0
68,60.4107,11.0593,60.449762,10.801898,1,1055,Walking,754.0,0
69,60.3913,11.199589,60.328985,11.248871,0,420,Walking,0.0,0
70,60.25252,11.206106,60.300282,11.244182,1,1040,Walking,532.0,0
