pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,request_type,request_time,mobility_type,call_time
59907635,10563608,59930198,10609404,1,920,Walking,800.0
59930198,10609404,59907635,10563608,0,540,Walking,0.0
59874773,10498504,59959034,10358874,1,870,Walking,734.9565007071928
59959034,10358874,59874773,10498504,0,540,Walking,326.2963693719954
59926579,10435982,59925662,10452647,0,420,Walking,0.0
59765400,10883200,59750213,10836925,0,420,Walking,0.0
59710470,11195313,59763913,11146744,0,420,Walking,0.0
59734211,11130775,59710470,11195313,1,965,Walking,601.0383299921225
59697150,11146331,59734211,11130775,0,420,Walking,0.0
59632427,10694180,59604056,10749636,0,480,Walking,282.7274153628837
59780433,11175570,60101929,11064498,1,905,Walking,0.0
59604056,10749636,59569626,10840697,1,1050,Walking,487.24196320359766
59569626,10840697,59604056,10749636,0,420,Walking,0.0
59673779,10655563,59501431,10686709,1,945,Walking,240.0
59501431,10686709,59673779,10655563,0,420,Walking,0.0
59687647,10775284,59717324,10776427,0,420,Walking,0.0
59927453,11441955,59799573,11471548,1,910,Walking,790.0
59799573,11471548,59927453,11441955,0,720,Walking,0.0
59949883,11011930,59975335,10999218,1,600,Walking,344.55209834152686
59988342,11105303,59929512,10961269,1,920,WheelChair,240.0
59997600,11017800,59954720,11046121,0,480,Walking,261.81417109855795
59954720,11046121,59997600,11017800,1,900,Walking,595.3776613149448
59922336,10959432,59965418,11040337,1,910,Walking,240.0
59965418,11040337,59922336,10959432,1,500,Walking,284.9102819703173
59723207,11466514,60120953,11464830,0,480,Walking,289.1894543843837
59995366,11018009,59917918,10743130,0,480,Walking,299.4183330474018
59925523,11065997,59919986,10978436,0,480,Walking,0.0
59919986,10978436,59925523,11065997,1,800,Walking,0.0
59946029,11210642,59985346,11240226,0,420,Walking,0.0
59928919,11177064,59941031,11208179,1,920,Walking,432.99759395493146
60292760,11156628,60319561,11247243,0,540,Walking,320.3786728852189
60319561,11247243,60292760,11156628,1,910,Walking,0.0
60251924,11190737,60155502,11129748,1,910,Walking,0.0
60155502,11129748,60251924,11190737,0,480,Walking,285.1009658252972
60121457,11099291,60141813,11176445,0,420,Walking,0.0
60022712,11103292,60021727,11164070,1,1050,Walking,930.0
60021727,11164070,60022712,11103292,0,420,Walking,0.0
60120953,11464830,59723207,11466514,1,900,Walking,293.0962817387361
60439056,10971875,60410700,11059300,0,420,Walking,0.0
60410700,11059300,60439056,10971875,1,1055,Walking,0.0
60441808,11058327,60287412,11169635,0,420,Walking,0.0
60287412,11169635,60441808,11058327,1,1050,Walking,309.2844515488334
60410700,11059300,60445138,10964783,1,930,Walking,0.0
60445138,10964783,60410700,11059300,0,420,Walking,0.0
60392616,11214552,60146554,11183650,0,480,Walking,240.0
60404994,11243892,60328985,11248871,0,420,Walking,0.0
60328985,11248871,60404994,11243892,1,1020,Walking,0.0
60101929,11064498,59780433,11175570,0,600,Walking,480.0
59985346,11240226,59946029,11210642,1,1025,Walking,339.99875856185525
60425548,10988553,60410700,11059300,0,420,Walking,0.0
60068261,11214483,60076010,11138006,0,420,Walking,0.0
59929512,10961269,60066166,11037068,1,490,Walking,0.0
60253327,11597040,60233793,11561111,0,420,Walking,0.0
60410700,11059300,60449762,10801898,1,1055,Walking,0.0
60449762,10801898,60410700,11059300,0,420,Walking,0.0
60123722,11465924,60157929,11537761,1,1050,Walking,575.9573228235823
60157929,11537761,60123722,11465924,0,420,Walking,0.0
60330172,11214234,60391300,11199589,1,1040,Walking,624.13189445158
60391300,11199589,60328985,11248871,0,420,Walking,0.0
60252520,11206106,60300282,11244182,1,1040,Walking,0.0
60334828,11294225,60328985,11248871,0,360,Walking,0.0
60410700,11059300,60425148,10915713,1,1050,Walking,240.0
