id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,request_type,request_time,call_time,direct_drive_time
1,59.910767,10.542664,59.953709,10.510822,0,920,646.0,0
2,59.953709,10.510822,59.910767,10.542664,1,540,0.0,6
3,59.959034,10.358874,59.874773,10.498504,1,540,405.0,13
4,59.926579,10.435982,59.925662,10.452647,1,420,0.0,1
5,59.604146,10.749486,59.589146,10.666161,0,880,634.0,0
6,59.600688,10.659178,59.604056,10.749636,0,785,0.0,0
7,59.664603,10.767295,59.685945,10.753603,0,1055,451.0,0
8,59.71047,11.195313,59.763913,11.146744,1,420,0.0,7
9,59.734211,11.130775,59.71047,11.195313,0,965,794.0,0
10,59.69715,11.146331,59.734211,11.130775,1,420,0.0,5
11,59.780433,11.17557,60.101929,11.064498,0,905,0.0,0
12,59.569626,10.840697,59.604056,10.749636,1,420,0.0,7
13,59.604056,10.749636,59.569626,10.840697,0,1050,638.0,0
14,59.75877,10.823631,59.754655,10.830694,1,480,0.0,1
15,59.754655,10.830694,59.75877,10.823631,0,760,0.0,0
16,59.604056,10.749636,59.631012,10.763176,0,955,374.0,0
17,59.631012,10.763176,59.604056,10.749636,1,420,0.0,4
18,59.673779,10.655563,59.501431,10.686709,0,945,510.0,0
19,59.501431,10.686709,59.673779,10.655563,1,420,0.0,20
20,59.687647,10.775284,59.717324,10.776427,1,420,0.0,4
21,59.717324,10.776427,59.687647,10.775284,0,1035,0.0,0
22,59.799573,11.471548,59.927453,11.441955,1,720,0.0,15
23,59.927453,11.441955,59.799573,11.471548,0,910,0.0,0
24,59.949883,11.01193,59.975335,10.999218,0,600,386.0,0
25,59.971106,11.055236,59.929512,10.961269,0,920,384.0,0
26,59.95472,11.046121,59.9976,11.0178,0,900,0.0,0
27,59.9976,11.0178,59.95472,11.046121,1,480,0.0,6
28,59.922336,10.959432,59.965418,11.040337,0,900,620.0,0
29,59.965418,11.040337,59.922336,10.959432,0,500,0.0,0
30,59.982423,11.522346,59.962767,11.490105,1,420,0.0,3
31,59.723207,11.466514,60.120953,11.46483,1,480,0.0,45
32,59.950492,11.447948,59.971507,11.475545,0,1040,0.0,0
33,60.002683,11.030508,59.932497,11.127337,0,880,700.0,0
34,59.995366,11.018009,59.917918,10.74313,1,480,0.0,18
35,59.917918,10.74313,59.995366,11.018009,0,945,504.0,0
36,59.919986,10.978436,59.925523,11.065997,0,800,0.0,0
37,59.925523,11.065997,59.919986,10.978436,1,480,0.0,5
38,59.946029,11.210642,59.985346,11.240226,1,420,0.0,5
39,59.962767,11.490105,59.985844,11.509855,0,1040,901.0,0
40,59.952239,11.046182,60.191222,11.263501,0,900,371.0,0
41,60.066166,11.037068,59.929512,10.961269,0,935,612.0,0
42,59.941031,11.208179,59.928919,11.177064,1,480,0.0,3
43,59.928919,11.177064,59.941031,11.208179,0,920,0.0,0
44,59.697891,11.415723,59.727039,11.418596,1,420,0.0,4
45,59.718607,11.449937,59.697891,11.415723,0,960,505.0,0
46,60.29276,11.156628,60.319561,11.247243,1,540,0.0,6
47,60.319561,11.247243,60.29276,11.156628,0,910,0.0,0
48,60.155502,11.129748,60.251924,11.190737,1,480,0.0,12
49,60.251924,11.190737,60.155502,11.129748,0,910,583.0,0
50,60.121457,11.099291,60.141813,11.176445,1,420,0.0,5
51,60.120953,11.46483,59.723207,11.466514,0,900,727.0,0
52,60.439056,10.971875,60.4107,11.0593,1,420,0.0,6
53,60.4107,11.0593,60.439056,10.971875,0,1055,611.0,0
54,60.404827,11.245206,60.301399,11.167248,1,420,0.0,13
55,60.441808,11.058327,60.287412,11.169635,1,420,0.0,19
56,60.445138,10.964783,60.4107,11.0593,1,420,0.0,7
57,60.392616,11.214552,60.146554,11.18365,1,480,0.0,28
58,59.944864,10.86324,60.017084,11.406265,0,1340,1207.0,0
59,60.328985,11.248871,60.404994,11.243892,0,1020,723.0,0
60,60.404994,11.243892,60.328985,11.248871,1,420,0.0,9
61,60.101929,11.064498,59.780433,11.17557,1,600,0.0,37
62,59.985346,11.240226,59.946029,11.210642,0,1025,823.0,0
63,60.02092,11.226297,60.069193,11.265125,0,1050,510.0,0
64,60.4107,11.0593,60.425548,10.988553,0,1055,385.0,0
65,60.425548,10.988553,60.4107,11.0593,1,420,0.0,5
66,60.191222,11.263501,59.952239,11.046182,1,540,374.0,30
67,59.929512,10.961269,60.066166,11.037068,0,490,361.0,0
68,60.253327,11.59704,60.233793,11.561111,1,420,0.0,3
69,60.233793,11.561111,60.253327,11.59704,0,940,0.0,0
70,60.3913,11.199589,60.328985,11.248871,1,420,0.0,8
71,60.330172,11.214234,60.3913,11.199589,0,1040,681.0,0
72,60.134296,11.47402,60.129591,11.476333,0,915,461.0,0
73,60.129591,11.476333,60.134296,11.47402,0,610,0.0,0
74,60.022712,11.103292,59.972366,11.357553,0,915,621.0,0
