id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,6,4,59.799573,11.471548
2,600,960,6,4,60.121457,11.099291
3,600,960,6,4,59.926579,10.435982
4,1080,1440,6,4,59.604146,10.749486
5,840,1200,6,4,59.917918,10.74313
6,840,1200,6,4,60.328985,11.248871
7,840,1200,6,4,60.4107,11.0593
8,840,1200,6,4,60.29276,11.156628
9,840,1200,6,4,60.02092,11.226297
10,840,1200,6,4,60.328985,11.248871
11,840,1200,6,4,60.155502,11.129748
12,840,1200,6,4,60.328985,11.248871
13,840,1200,6,4,59.927453,11.441955
14,840,1200,6,4,59.949883,11.01193
15,360,720,6,4,60.330172,11.214234
16,360,720,6,4,60.439056,10.971875
17,360,720,6,4,60.134296,11.47402
18,360,720,6,4,59.962767,11.490105
19,360,720,6,4,60.07601,11.138006
20,360,720,6,4,59.917918,10.74313
21,360,720,6,4,59.501431,10.686709
22,360,720,6,4,59.734211,11.130775
23,360,720,6,4,60.445138,10.964783
24,360,720,6,4,60.07601,11.138006
25,360,720,6,4,60.29276,11.156628
26,360,720,6,4,60.4107,11.0593
27,360,720,6,4,59.982423,11.522346
28,360,720,6,4,59.985346,11.240226
29,360,720,6,4,59.718607,11.449937
30,360,720,6,4,59.946029,11.210642
