request_type,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
0,59.910767,10.542664,59.953709,10.510822
1,59.953709,10.510822,59.910767,10.542664
1,59.959034,10.358874,59.874773,10.498504
1,59.926579,10.435982,59.925662,10.452647
0,59.604146,10.749486,59.589146,10.666161
0,59.600688,10.659178,59.604056,10.749636
0,59.664603,10.767295,59.685945,10.753603
1,59.71047,11.195313,59.763913,11.146744
0,59.734211,11.130775,59.71047,11.195313
1,59.69715,11.146331,59.734211,11.130775
0,59.780433,11.17557,60.101929,11.064498
1,59.569626,10.840697,59.604056,10.749636
0,59.604056,10.749636,59.569626,10.840697
1,59.75877,10.823631,59.754655,10.830694
0,59.754655,10.830694,59.75877,10.823631
0,59.604056,10.749636,59.631012,10.763176
1,59.631012,10.763176,59.604056,10.749636
0,59.673779,10.655563,59.501431,10.686709
1,59.501431,10.686709,59.673779,10.655563
1,59.687647,10.775284,59.717324,10.776427
0,59.717324,10.776427,59.687647,10.775284
1,59.799573,11.471548,59.927453,11.441955
0,59.927453,11.441955,59.799573,11.471548
0,59.949883,11.01193,59.975335,10.999218
0,59.971106,11.055236,59.929512,10.961269
0,59.95472,11.046121,59.9976,11.0178
1,59.9976,11.0178,59.95472,11.046121
0,59.922336,10.959432,59.965418,11.040337
0,59.965418,11.040337,59.922336,10.959432
1,59.982423,11.522346,59.962767,11.490105
1,59.723207,11.466514,60.120953,11.46483
0,59.950492,11.447948,59.971507,11.475545
0,60.002683,11.030508,59.932497,11.127337
1,59.995366,11.018009,59.917918,10.74313
0,59.917918,10.74313,59.995366,11.018009
0,59.919986,10.978436,59.925523,11.065997
1,59.925523,11.065997,59.919986,10.978436
1,59.946029,11.210642,59.985346,11.240226
0,59.962767,11.490105,59.985844,11.509855
0,59.952239,11.046182,60.191222,11.263501
0,60.066166,11.037068,59.929512,10.961269
1,59.941031,11.208179,59.928919,11.177064
0,59.928919,11.177064,59.941031,11.208179
1,59.697891,11.415723,59.727039,11.418596
0,59.718607,11.449937,59.697891,11.415723
1,60.29276,11.156628,60.319561,11.247243
0,60.319561,11.247243,60.29276,11.156628
1,60.155502,11.129748,60.251924,11.190737
0,60.251924,11.190737,60.155502,11.129748
1,60.121457,11.099291,60.141813,11.176445
0,60.120953,11.46483,59.723207,11.466514
1,60.439056,10.971875,60.4107,11.0593
0,60.4107,11.0593,60.439056,10.971875
1,60.404827,11.245206,60.301399,11.167248
1,60.441808,11.058327,60.287412,11.169635
1,60.445138,10.964783,60.4107,11.0593
1,60.392616,11.214552,60.146554,11.18365
0,59.944864,10.86324,60.017084,11.406265
0,60.328985,11.248871,60.404994,11.243892
1,60.404994,11.243892,60.328985,11.248871
1,60.101929,11.064498,59.780433,11.17557
0,59.985346,11.240226,59.946029,11.210642
0,60.02092,11.226297,60.069193,11.265125
0,60.4107,11.0593,60.425548,10.988553
1,60.425548,10.988553,60.4107,11.0593
1,60.191222,11.263501,59.952239,11.046182
0,59.929512,10.961269,60.066166,11.037068
1,60.253327,11.59704,60.233793,11.561111
0,60.233793,11.561111,60.253327,11.59704
1,60.3913,11.199589,60.328985,11.248871
0,60.330172,11.214234,60.3913,11.199589
0,60.134296,11.47402,60.129591,11.476333
0,60.129591,11.476333,60.134296,11.47402
0,60.022712,11.103292,59.972366,11.357553
1,59.930198,10.609404,59.910767,10.542664
0,59.910767,10.542664,59.930198,10.609404
0,59.874773,10.498504,59.959034,10.358874
1,59.7654,10.8832,59.750213,10.836925
0,59.988342,11.105303,59.929512,10.961269
0,60.002683,11.030508,59.922336,10.959432
0,59.962767,11.490105,59.982423,11.522346
0,59.952239,11.046182,60.360484,11.357238
0,60.08722,10.993415,59.929512,10.961269
1,59.699878,11.407882,59.727039,11.418596
0,60.141813,11.176445,60.121457,11.099291
1,60.021727,11.16407,60.022712,11.103292
0,60.4107,11.0593,60.445138,10.964783
1,60.017084,11.406265,59.944864,10.86324
1,59.981093,11.23648,59.933735,10.792274
0,59.933735,10.792274,59.981093,11.23648
1,60.360484,11.357238,59.952239,11.046182
1,60.449762,10.801898,60.4107,11.0593
0,60.4107,11.0593,60.449762,10.801898
0,60.25252,11.206106,60.300282,11.244182
0,59.907635,10.563608,59.930198,10.609404
1,59.930198,10.609404,59.907635,10.563608
1,59.632427,10.69418,59.604056,10.749636
0,60.022712,11.103292,60.021727,11.16407
0,60.287412,11.169635,60.441808,11.058327
1,60.068261,11.214483,60.07601,11.138006
0,60.123722,11.465924,60.157929,11.537761
1,60.157929,11.537761,60.123722,11.465924
1,60.334828,11.294225,60.328985,11.248871
0,60.4107,11.0593,60.425148,10.915713
1,59.953709,10.510822,59.907635,10.563608
0,59.907635,10.563608,59.953709,10.510822
0,59.601353,10.660715,59.604056,10.749636
0,59.604056,10.749636,59.601353,10.660715
0,59.903571,11.5926,59.950577,11.751773
0,59.819997,11.486235,59.805357,11.517573
0,59.985346,11.240226,59.958734,11.205094
0,60.02092,11.226297,60.067222,11.259076
0,60.07601,11.138006,60.068261,11.214483
0,59.604056,10.749636,59.600688,10.659178
0,59.598712,10.655494,59.604056,10.749636
1,60.048435,11.376631,60.200664,11.07403
0,60.200664,11.07403,60.048435,11.376631
1,59.635075,10.672229,59.672538,10.65247
0,59.672538,10.65247,59.635075,10.672229
1,59.961768,11.206782,59.928919,11.177064
0,59.952426,11.044606,59.976774,10.938867
0,60.336643,11.262108,60.29276,11.156628
0,60.336643,11.262108,60.082467,11.271548
0,60.336643,11.262108,60.120493,11.472859
0,59.985346,11.240226,59.891609,11.816682
0,59.976945,12.060445,59.985346,11.240226
0,59.985346,11.240226,59.976945,12.060445
1,60.394568,11.218985,60.328985,11.248871
0,59.879305,11.588946,59.971423,12.138335
0,59.971423,12.138335,59.879305,11.588946
