Iteration,TotalCost,nRequestBank,IsAccepted,IsImproved,IsNewBest,DM,RM,DW1,DW2,DW3,RW1,RW2nD1,nD2,nD3,nR1,nR2
0,2182.105263157895,2,true,true,true,randomDestroy,greedyInsertion,3.6,0.3333333333333333,0.3333333333333333,3.7500000000000004,0.50,0,0,0,0
1,2182.1052631578946,2,true,false,false,randomDestroy,greedyInsertion,3.6,0.3333333333333333,0.3333333333333333,3.7500000000000004,0.51,0,0,1,0
2,4160.0,4,true,false,false,randomDestroy,greedyInsertion,3.6,0.3333333333333333,0.3333333333333333,3.7500000000000004,0.52,0,0,2,0
3,4160.0,4,false,false,false,randomDestroy,greedyInsertion,3.6,0.3333333333333333,0.3333333333333333,3.7500000000000004,0.53,0,0,3,0
4,3170.0,3,true,true,false,randomDestroy,regretInsertion,3.6,0.3333333333333333,0.3333333333333333,3.7500000000000004,0.54,0,0,3,1
5,3170.0,3,false,false,false,randomDestroy,greedyInsertion,3.6,0.3333333333333333,0.3333333333333333,3.7500000000000004,0.55,0,0,4,1
6,3172.105263157895,3,true,false,false,randomDestroy,greedyInsertion,3.6,0.3333333333333333,0.3333333333333333,3.7500000000000004,0.56,0,0,5,1
7,2180.0,2,true,true,true,randomDestroy,regretInsertion,3.6,0.3333333333333333,0.3333333333333333,3.7500000000000004,0.57,0,0,5,2
8,4179.047619047619,4,true,false,false,randomDestroy,greedyInsertion,3.6,0.3333333333333333,0.3333333333333333,3.7500000000000004,0.58,0,0,6,2
9,6140.0,6,false,false,false,worstRemoval,greedyInsertion,3.6,0.3333333333333333,0.3333333333333333,3.7500000000000004,0.58,1,0,7,2
10,4160.0,4,true,true,false,worstRemoval,greedyInsertion,4.465,0.95,0.3333333333333333,4.1875,2.75000000000000040,0,0,0,0
11,4171.698113207547,4,true,false,false,randomDestroy,regretInsertion,4.465,0.95,0.3333333333333333,4.1875,2.75000000000000041,0,0,0,1
12,4160.0,4,true,true,false,randomDestroy,greedyInsertion,4.465,0.95,0.3333333333333333,4.1875,2.75000000000000042,0,0,1,1
13,3170.0,3,true,true,false,randomDestroy,greedyInsertion,4.465,0.95,0.3333333333333333,4.1875,2.75000000000000043,0,0,2,1
14,3181.453634085213,3,true,false,false,randomDestroy,regretInsertion,4.465,0.95,0.3333333333333333,4.1875,2.75000000000000044,0,0,2,2
15,3181.453634085213,3,false,false,false,randomDestroy,greedyInsertion,4.465,0.95,0.3333333333333333,4.1875,2.75000000000000045,0,0,3,2
16,3181.453634085213,3,false,false,false,randomDestroy,greedyInsertion,4.465,0.95,0.3333333333333333,4.1875,2.75000000000000046,0,0,4,2
17,3181.453634085213,3,false,false,false,randomDestroy,regretInsertion,4.465,0.95,0.3333333333333333,4.1875,2.75000000000000047,0,0,4,3
18,1200.5555555555557,1,true,true,true,worstRemoval,regretInsertion,4.465,0.95,0.3333333333333333,4.1875,2.75000000000000047,1,0,4,4
19,3180.5555555555557,3,false,false,false,randomDestroy,greedyInsertion,4.465,0.95,0.3333333333333333,4.1875,2.75000000000000048,1,0,5,4
20,3199.3296921549154,3,false,false,false,randomDestroy,greedyInsertion,4.596277777777778,4.155,0.3333333333333333,4.202083333333333,3.95000000000000060,0,0,0,0
21,1207.6315789473683,1,true,false,false,worstRemoval,greedyInsertion,4.596277777777778,4.155,0.3333333333333333,4.202083333333333,3.95000000000000060,1,0,1,0
22,1192.105263157895,1,true,true,true,worstRemoval,regretInsertion,4.596277777777778,4.155,0.3333333333333333,4.202083333333333,3.95000000000000060,2,0,1,1
23,1192.1052631578953,1,true,false,false,worstRemoval,regretInsertion,4.596277777777778,4.155,0.3333333333333333,4.202083333333333,3.95000000000000060,3,0,1,2
24,2197.6315789473683,2,true,false,false,worstRemoval,greedyInsertion,4.596277777777778,4.155,0.3333333333333333,4.202083333333333,3.95000000000000060,4,0,2,2
25,1207.6315789473683,1,true,true,false,randomDestroy,greedyInsertion,4.596277777777778,4.155,0.3333333333333333,4.202083333333333,3.95000000000000061,4,0,3,2
26,1207.6315789473683,1,true,false,false,worstRemoval,regretInsertion,4.596277777777778,4.155,0.3333333333333333,4.202083333333333,3.95000000000000061,5,0,3,3
27,3180.555555555551,3,false,false,false,randomDestroy,regretInsertion,4.596277777777778,4.155,0.3333333333333333,4.202083333333333,3.95000000000000062,5,0,3,4
28,4176.578947368422,4,false,false,false,randomDestroy,greedyInsertion,4.596277777777778,4.155,0.3333333333333333,4.202083333333333,3.95000000000000063,5,0,4,4
29,1192.1052631578946,1,true,true,false,randomDestroy,regretInsertion,4.596277777777778,4.155,0.3333333333333333,4.202083333333333,3.95000000000000064,5,0,4,5
30,1192.1052631578946,1,true,false,false,randomDestroy,greedyInsertion,4.916650000000001,5.439500000000001,0.3333333333333333,4.821875,4.9950000000000010,0,0,0,0
31,1200.5555555555557,1,true,false,false,worstRemoval,regretInsertion,4.916650000000001,5.439500000000001,0.3333333333333333,4.821875,4.9950000000000010,1,0,0,1
32,1192.1052631578948,1,true,true,false,randomDestroy,regretInsertion,4.916650000000001,5.439500000000001,0.3333333333333333,4.821875,4.9950000000000011,1,0,0,2
33,3187.6315789473683,3,false,false,false,worstRemoval,greedyInsertion,4.916650000000001,5.439500000000001,0.3333333333333333,4.821875,4.9950000000000011,2,0,1,2
34,4160.0,4,false,false,false,worstRemoval,greedyInsertion,4.916650000000001,5.439500000000001,0.3333333333333333,4.821875,4.9950000000000011,3,0,2,2
35,1190.0,1,true,true,true,randomDestroy,regretInsertion,4.916650000000001,5.439500000000001,0.3333333333333333,4.821875,4.9950000000000012,3,0,2,3
36,2182.1052631578946,2,true,false,false,worstRemoval,greedyInsertion,4.916650000000001,5.439500000000001,0.3333333333333333,4.821875,4.9950000000000012,4,0,3,3
37,2207.1345029239765,2,true,false,false,worstRemoval,greedyInsertion,4.916650000000001,5.439500000000001,0.3333333333333333,4.821875,4.9950000000000012,5,0,4,3
38,2182.1052631578946,2,true,true,false,worstRemoval,greedyInsertion,4.916650000000001,5.439500000000001,0.3333333333333333,4.821875,4.9950000000000012,6,0,5,3
39,2182.105263157895,2,true,false,false,randomDestroy,greedyInsertion,4.916650000000001,5.439500000000001,0.3333333333333333,4.821875,4.9950000000000013,6,0,6,3
40,2180.0,2,true,true,false,worstRemoval,regretInsertion,6.391651666666667,5.82412142857143,0.3333333333333333,5.206354166666667,6.29550000000000050,0,0,0,0
41,2180.0,2,false,false,false,worstRemoval,greedyInsertion,6.391651666666667,5.82412142857143,0.3333333333333333,5.206354166666667,6.29550000000000050,1,0,1,0
42,3170.0,3,false,false,false,worstRemoval,regretInsertion,6.391651666666667,5.82412142857143,0.3333333333333333,5.206354166666667,6.29550000000000050,2,0,1,1
43,2182.105263157895,2,true,false,false,randomDestroy,regretInsertion,6.391651666666667,5.82412142857143,0.3333333333333333,5.206354166666667,6.29550000000000051,2,0,1,2
44,2182.1052631578946,2,false,false,false,randomDestroy,greedyInsertion,6.391651666666667,5.82412142857143,0.3333333333333333,5.206354166666667,6.29550000000000052,2,0,2,2
45,2207.1345029239774,2,true,false,false,worstRemoval,regretInsertion,6.391651666666667,5.82412142857143,0.3333333333333333,5.206354166666667,6.29550000000000052,3,0,2,3
46,3186.5789473684226,3,false,false,false,worstRemoval,regretInsertion,6.391651666666667,5.82412142857143,0.3333333333333333,5.206354166666667,6.29550000000000052,4,0,2,4
47,3170.000000000002,3,false,false,false,randomDestroy,greedyInsertion,6.391651666666667,5.82412142857143,0.3333333333333333,5.206354166666667,6.29550000000000053,4,0,3,4
48,2190.5555555555566,2,true,true,false,randomDestroy,regretInsertion,6.391651666666667,5.82412142857143,0.3333333333333333,5.206354166666667,6.29550000000000054,4,0,3,5
49,2180.000000000001,2,true,true,false,randomDestroy,greedyInsertion,6.391651666666667,5.82412142857143,0.3333333333333333,5.206354166666667,6.29550000000000055,4,0,4,5
50,5150.000000000001,5,false,false,false,worstRemoval,regretInsertion,6.532486500000001,5.501709285714287,0.3333333333333333,5.0107187500000006,6.3159500000000010,0,0,0,0
51,2182.105263157895,2,true,false,false,randomDestroy,regretInsertion,6.532486500000001,5.501709285714287,0.3333333333333333,5.0107187500000006,6.3159500000000011,0,0,0,1
52,3180.5555555555557,3,false,false,false,randomDestroy,greedyInsertion,6.532486500000001,5.501709285714287,0.3333333333333333,5.0107187500000006,6.3159500000000012,0,0,1,1
53,3172.105263157895,3,false,false,false,randomDestroy,greedyInsertion,6.532486500000001,5.501709285714287,0.3333333333333333,5.0107187500000006,6.3159500000000013,0,0,2,1
54,1200.5555555555557,1,true,true,false,worstRemoval,regretInsertion,6.532486500000001,5.501709285714287,0.3333333333333333,5.0107187500000006,6.3159500000000013,1,0,2,2
