Iteration,TotalCost,nRequestBank,p,delta,IsAccepted,IsImproved,IsNewBest,DM,RM,DW1,DW2,DW3,RW1,RW2nD1,nD2,nD3,nR1,nR2
0,16192.750220708474,10,0.9975000003973643,0.6713076247974409,true,true,true,shawRemoval,regretInsertion,0.3333333333333333,0.3333333333333333,3.6,0.5,3.75000000000000040,0,0,0,0
1,10662.37108088001,5,0.9912083327770234,0.3415342708588076,true,true,true,shawRemoval,regretInsertion,0.3333333333333333,0.3333333333333333,3.6,0.5,3.75000000000000040,0,1,0,1
2,17482.11280268994,12,0.9862499992052715,0.6396083638506294,true,false,false,shawRemoval,regretInsertion,0.3333333333333333,0.3333333333333333,3.6,0.5,3.75000000000000040,0,2,0,2
3,13357.307332235869,8,0.9795583327611287,0.2527520596416379,true,true,false,shawRemoval,regretInsertion,0.3333333333333333,0.3333333333333333,3.6,0.5,3.75000000000000040,0,3,0,3
4,8360.272857685452,3,0.9773500005404154,0.2159086572519249,true,true,true,randomDestroy,regretInsertion,0.3333333333333333,0.3333333333333333,3.6,0.5,3.75000000000000041,0,3,0,4
5,7327.97724806513,2,0.9747250000635783,0.12347630600015051,true,true,true,shawRemoval,regretInsertion,0.3333333333333333,0.3333333333333333,3.6,0.5,3.75000000000000041,0,4,0,5
6,15206.7579857042,10,0.9668000002702077,1.075164465026058,false,false,false,shawRemoval,regretInsertion,0.3333333333333333,0.3333333333333333,3.6,0.5,3.75000000000000041,0,5,0,6
7,13195.272366593907,8,0.957916667064031,0.8006704879000505,true,false,false,shawRemoval,regretInsertion,0.3333333333333333,0.3333333333333333,3.6,0.5,3.75000000000000041,0,6,0,7
8,10143.18732342028,5,0.9515250007311503,0.38417287336672257,true,true,false,shawRemoval,regretInsertion,0.3333333333333333,0.3333333333333333,3.6,0.5,3.75000000000000041,0,7,0,8
9,13062.885695759396,8,0.9484833339850108,0.7826045651558899,true,false,false,shawRemoval,regretInsertion,0.3333333333333333,0.3333333333333333,3.6,0.5,3.75000000000000041,0,8,0,9
10,14064.684043647954,9,0.945974999666214,0.9193132794403225,true,false,false,shawRemoval,regretInsertion,3.6,0.3333333333333333,4.84,0.5,5.14500000000000050,0,0,0,0
11,15066.761134031023,10,0.9404166658719381,1.0560600318470192,false,false,false,shawRemoval,regretInsertion,3.6,0.3333333333333333,4.84,0.5,5.14500000000000050,0,1,0,1
12,20033.037590641943,15,0.9370833337306976,1.733774534566335,false,false,false,shawRemoval,greedyInsertion,3.6,0.3333333333333333,4.84,0.5,5.14500000000000050,0,2,1,1
13,12130.311720848826,7,0.9309666673342387,0.6553424376490385,true,true,false,shawRemoval,regretInsertion,3.6,0.3333333333333333,4.84,0.5,5.14500000000000050,0,3,1,2
14,15133.623949592438,10,0.9254083335399628,1.06518435269273,false,false,false,shawRemoval,regretInsertion,3.6,0.3333333333333333,4.84,0.5,5.14500000000000050,0,4,1,3
15,18069.455351776516,13,0.9183333337306976,1.4658176110668948,false,false,false,shawRemoval,regretInsertion,3.6,0.3333333333333333,4.84,0.5,5.14500000000000050,0,5,1,4
16,12118.815189098204,7,0.911808333794276,0.6537735829212681,true,true,false,randomDestroy,regretInsertion,3.6,0.3333333333333333,4.84,0.5,5.14500000000000051,0,5,1,5
17,19974.22479229023,15,0.9049999992052714,1.7257487456806995,false,false,false,shawRemoval,regretInsertion,3.6,0.3333333333333333,4.84,0.5,5.14500000000000051,0,6,1,6
18,11161.870586820578,6,0.9,0.5231857590398148,true,true,false,shawRemoval,regretInsertion,3.6,0.3333333333333333,4.84,0.5,5.14500000000000051,0,7,1,7
19,11134.025154270075,6,0.8938500006993612,0.5193858792629152,true,true,false,shawRemoval,regretInsertion,3.6,0.3333333333333333,4.84,0.5,5.14500000000000051,0,8,1,8
20,11179.775492757752,6,0.8920083324114482,0.5256291216937997,true,false,false,randomDestroy,greedyInsertion,4.54,0.3333333333333333,4.8435,1.1,5.2805000000000010,0,0,0,0
21,9154.594464674417,4,0.8877666672070821,0.24926622378523147,true,true,false,randomDestroy,regretInsertion,4.54,0.3333333333333333,4.8435,1.1,5.2805000000000011,0,0,0,1
22,9123.309914282305,4,0.8849916676680247,0.24499703061867614,true,true,false,shawRemoval,regretInsertion,4.54,0.3333333333333333,4.8435,1.1,5.2805000000000011,0,1,0,2
23,21969.881732183865,17,0.8776666661103567,1.9980826889145658,false,false,false,shawRemoval,regretInsertion,4.54,0.3333333333333333,4.8435,1.1,5.2805000000000011,0,2,0,3
24,8108.595306047289,3,0.8724500000476837,0.10652572074896559,true,true,false,randomDestroy,regretInsertion,4.54,0.3333333333333333,4.8435,1.1,5.2805000000000012,0,2,0,4
25,28854.37271541526,24,0.8627249995867411,2.9375630871444,false,false,false,randomDestroy,greedyInsertion,4.54,0.3333333333333333,4.8435,1.1,5.2805000000000013,0,2,1,4
26,7115.357671318234,2,0.857274999221166,0.02901477031783034,true,true,true,shawRemoval,regretInsertion,4.54,0.3333333333333333,4.8435,1.1,5.2805000000000013,0,3,1,5
27,14064.211817411247,9,0.8543083329995473,0.976599415951163,false,false,false,randomDestroy,greedyInsertion,4.54,0.3333333333333333,4.8435,1.1,5.2805000000000014,0,3,2,5
28,15076.212445865618,10,0.8509750008583069,1.1188270698797504,false,false,false,randomDestroy,greedyInsertion,4.54,0.3333333333333333,4.8435,1.1,5.2805000000000015,0,3,3,5
29,11104.02959978902,6,0.8441083331902822,0.5605722316038994,true,false,false,randomDestroy,regretInsertion,4.54,0.3333333333333333,4.8435,1.1,5.2805000000000016,0,3,3,6
