Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Inst. 1,2.0,2.21,0.21,10.5,2.8,0.8,40.0
Inst. 2,6.36,6.16,-0.2,-3.14,7.06,0.7,11.01
Inst. 3,3.21,2.77,-0.44,-13.71,2.41,-0.8,-24.92
Inst. 4,3.63,4.37,0.74,20.39,3.16,-0.47,-12.95
Inst. 5,2.82,2.57,-0.25,-8.87,2.87,0.05,1.77
Inst. 6,5.02,4.73,-0.29,-5.78,4.59,-0.43,-8.57
Inst. 7,5.45,4.99,-0.46,-8.44,4.68,-0.77,-14.13
Inst. 8,3.2,3.17,-0.03,-0.94,3.36,0.16,5.0
Inst. 9,7.35,6.34,-1.01,-13.74,6.09,-1.26,-17.14
Inst. 10,2.59,2.29,-0.3,-11.58,3.14,0.55,21.24
Average,4.16,3.96,-0.2,-3.53,4.02,-0.15,0.13
