Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Inst. 1,22.54,26.11,3.57,15.84,22.03,-0.51,-2.26
Inst. 2,24.44,25.54,1.1,4.5,23.82,-0.62,-2.54
Inst. 3,23.71,24.38,0.67,2.83,21.77,-1.94,-8.18
Inst. 4,23.4,24.8,1.4,5.98,23.9,0.5,2.14
Inst. 5,20.48,20.87,0.39,1.9,22.67,2.19,10.69
Inst. 6,22.41,25.02,2.61,11.65,21.99,-0.42,-1.87
Inst. 7,21.87,23.94,2.07,9.47,20.59,-1.28,-5.85
Inst. 8,21.54,22.04,0.5,2.32,21.74,0.2,0.93
Inst. 9,21.63,22.77,1.14,5.27,23.27,1.64,7.58
Inst. 10,22.85,23.97,1.12,4.9,24.22,1.37,6.0
Average,22.49,23.94,1.46,6.47,22.6,0.11,0.66
