Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Inst. 1,2487.2,2795.4,308.2,12.39,1757.0,-730.2,-29.36
Inst. 2,2613.6,2438.2,-175.4,-6.71,1492.2,-1121.4,-42.91
Inst. 3,2347.2,2605.8,258.6,11.02,1885.2,-462.0,-19.68
Inst. 4,2623.4,2713.6,90.2,3.44,1891.2,-732.2,-27.91
Inst. 5,2509.6,2684.8,175.2,6.98,1802.8,-706.8,-28.16
Inst. 6,2699.4,2764.2,64.8,2.4,1959.6,-739.8,-27.41
Inst. 7,2610.8,2781.2,170.4,6.53,1999.8,-611.0,-23.4
Inst. 8,2593.2,2478.6,-114.6,-4.42,1833.0,-760.2,-29.32
Inst. 9,2588.0,2703.2,115.2,4.45,1684.2,-903.8,-34.92
Inst. 10,2477.8,2589.4,111.6,4.5,1685.6,-792.2,-31.97
Average,2555.02,2655.44,100.42,4.06,1799.06,-755.96,-29.5
