Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Inst. 1,1.65,2.9,1.25,75.76,2.03,0.38,23.03
Inst. 2,1.44,1.75,0.31,21.53,0.81,-0.63,-43.75
Inst. 3,1.47,1.64,0.17,11.56,0.9,-0.57,-38.78
Inst. 4,2.12,1.57,-0.55,-25.94,1.45,-0.67,-31.6
Inst. 5,1.81,1.11,-0.7,-38.67,1.3,-0.51,-28.18
Inst. 6,1.05,2.18,1.13,107.62,1.2,0.15,14.29
Inst. 7,1.1,1.75,0.65,59.09,1.48,0.38,34.55
Inst. 8,1.52,2.01,0.49,32.24,1.07,-0.45,-29.61
Inst. 9,1.36,2.27,0.91,66.91,0.81,-0.55,-40.44
Inst. 10,1.57,1.8,0.23,14.65,1.24,-0.33,-21.02
Average,1.51,1.9,0.39,32.48,1.23,-0.28,-16.15
