Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Inst. 1,1717.8,3020.0,1302.2,75.81,1115.0,-602.8,-35.09
Inst. 2,1929.4,2864.0,934.6,48.44,1312.0,-617.4,-32.0
Inst. 3,1750.2,2866.8,1116.6,63.8,1522.0,-228.2,-13.04
Inst. 4,1690.8,2798.4,1107.6,65.51,1338.2,-352.6,-20.85
Inst. 5,1766.4,2787.0,1020.6,57.78,1494.8,-271.6,-15.38
Inst. 6,2102.6,2700.0,597.4,28.41,1435.2,-667.4,-31.74
Inst. 7,1778.2,2909.0,1130.8,63.59,1463.8,-314.4,-17.68
Inst. 8,1974.0,2844.8,870.8,44.11,1497.6,-476.4,-24.13
Inst. 9,1863.2,2932.2,1069.0,57.37,1441.0,-422.2,-22.66
Inst. 10,1716.0,2935.0,1219.0,71.04,1406.0,-310.0,-18.07
Average,1828.86,2865.72,1036.86,57.59,1402.56,-426.3,-23.06
