Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2,WF,DifferenceWait,PercentDifferenceWait
Inst. 1,5912.2,7953.6,2041.4,34.53,4286.6,-1625.6,-27.5,2562.6,-3349.6,-56.66
Inst. 2,5699.4,8410.4,2711.0,47.57,4558.4,-1141.0,-20.02,2693.2,-3006.2,-52.75
Inst. 3,5998.0,7948.8,1950.8,32.52,4187.2,-1810.8,-30.19,2485.6,-3512.4,-58.56
Inst. 4,5587.4,7756.0,2168.6,38.81,3871.6,-1715.8,-30.71,2576.2,-3011.2,-53.89
Inst. 5,5441.6,8161.0,2719.4,49.97,3939.6,-1502.0,-27.6,2362.4,-3079.2,-56.59
Inst. 6,5603.2,7904.0,2300.8,41.06,4349.0,-1254.2,-22.38,2599.4,-3003.8,-53.61
Inst. 7,5558.2,7943.8,2385.6,42.92,4249.6,-1308.6,-23.54,2631.0,-2927.2,-52.66
Inst. 8,5527.4,7983.4,2456.0,44.43,4227.2,-1300.2,-23.52,2634.6,-2892.8,-52.34
Inst. 9,5581.6,7934.6,2353.0,42.16,3961.6,-1620.0,-29.02,2417.6,-3164.0,-56.69
Inst. 10,5934.0,8168.6,2234.6,37.66,4350.0,-1584.0,-26.69,2530.6,-3403.4,-57.35
Average,5684.3,8016.42,2332.12,41.16,4198.08,-1486.22,-26.12,2549.32,-3134.98,-55.11
