Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Inst. 1,67.6,84.8,17.2,25.44,51.6,-16.0,-23.67
Inst. 2,72.2,101.6,29.4,40.72,62.0,-10.2,-14.13
Inst. 3,63.4,93.8,30.4,47.95,46.6,-16.8,-26.5
Inst. 4,61.6,89.2,27.6,44.81,58.2,-3.4,-5.52
Inst. 5,67.4,102.2,34.8,51.63,59.8,-7.6,-11.28
Inst. 6,62.2,88.6,26.4,42.44,50.4,-11.8,-18.97
Inst. 7,75.8,94.6,18.8,24.8,63.0,-12.8,-16.89
Inst. 8,72.4,86.8,14.4,19.89,65.8,-6.6,-9.12
Inst. 9,60.0,82.0,22.0,36.67,49.6,-10.4,-17.33
Inst. 10,77.0,91.0,14.0,18.18,62.2,-14.8,-19.22
Average,67.96,91.46,23.5,35.25,56.92,-11.04,-16.26
