ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_1,2.77,0.35,0,6,6140.0,1084.5233204749763,522,0,1679,156,156,12,2,8,4,0.0
Gen_Data_20_2,6.16,0.77,4,4,4160.0,1414.8993623018434,178,0,1676,377,377,12,3,8,1,0.0
Gen_Data_20_3,3.19,0.4,2,6,6140.0,1205.8047687391113,245,0,1523,251,251,12,2,8,4,0.0
Gen_Data_20_4,4.0,0.5,3,3,3198.666548505258,1351.1624017601016,66,0,1503,359,470,12,0,8,3,8.929
Gen_Data_20_5,8.8,1.1,5,3,3175.918367346939,1597.517748617594,265,0,1951,471,500,12,1,8,2,4.167
Gen_Data_20_6,3.06,0.38,3,6,6140.0,1183.1701845669422,300,0,1915,321,321,12,2,8,4,0.0
Gen_Data_20_7,4.31,0.54,0,8,8137.447619047619,1152.485161771396,228,0,1805,368,448,12,2,8,6,5.556
Gen_Data_20_8,4.61,0.58,2,6,6141.3725490196075,1163.7948901640882,558,0,1795,232,239,12,3,8,3,3.333
Gen_Data_20_9,2.69,0.34,1,7,7132.258064516129,1295.2773612714782,431,0,1795,276,290,12,2,8,5,4.167
Gen_Data_20_10,4.75,0.59,3,6,6140.0,1250.0242640341276,433,0,1759,196,196,12,3,8,3,0.0
