ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_1,5961.32,29.81,34.0,37.0,42043.38054352767,22421.153110079817,1921.0,48.0,26688.0,10214.0,12039.0,300.0,2.0,200.0,35.0,12.882
Gen_Data_500_2,6009.91,30.05,37.0,38.0,42944.427735180725,22164.036388244993,1710.0,110.0,26224.0,10246.0,11742.0,300.0,0.0,200.0,38.0,12.788
Gen_Data_500_3,6010.82,30.05,33.0,41.0,45991.70756482283,21933.416550374677,2164.0,122.0,26421.0,9975.0,11797.0,300.0,1.0,200.0,40.0,13.405
Gen_Data_500_4,5977.67,29.89,27.0,39.0,43899.24193414968,22253.62493721693,2217.0,31.0,26803.0,9152.0,10393.0,300.0,0.0,200.0,39.0,9.498
Gen_Data_500_5,6009.79,30.05,47.0,37.0,42057.07174811776,22425.485288212316,1881.0,49.0,26657.0,10250.0,12208.0,300.0,2.0,200.0,35.0,15.509
Gen_Data_500_6,6010.28,30.05,29.0,53.0,57798.26868890234,21635.588670762845,2589.0,28.0,26497.0,9762.0,11249.0,300.0,0.0,200.0,53.0,11.486
Gen_Data_500_7,5944.54,29.72,35.0,54.0,58873.322664723426,22108.12828194133,2378.0,38.0,26735.0,9714.0,11391.0,300.0,5.0,200.0,49.0,13.702
Gen_Data_500_8,5955.8,29.78,35.0,51.0,55803.739685447596,21945.16315728429,2435.0,29.0,26652.0,9814.0,11177.0,300.0,3.0,200.0,48.0,11.81
Gen_Data_500_9,6004.41,30.02,35.0,57.0,61754.56637056933,22242.30574915559,2284.0,54.0,26767.0,9436.0,10873.0,300.0,0.0,200.0,57.0,10.471
Gen_Data_500_10,5925.2,29.63,43.0,52.0,56808.428022001695,21681.13278592808,2676.0,62.0,26619.0,8649.0,9970.0,300.0,2.0,200.0,50.0,10.643
