ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_1,5961.32,29.81,34,37,42043.38054352767,22421.153110079817,1921,48,26688,10214,12039,300,2,200,35,12.882
Gen_Data_500_2,6009.91,30.05,37,38,42944.427735180725,22164.036388244993,1710,110,26224,10246,11742,300,0,200,38,12.788
Gen_Data_500_3,6010.82,30.05,33,41,45991.70756482283,21933.416550374677,2164,122,26421,9975,11797,300,1,200,40,13.405
Gen_Data_500_4,5977.67,29.89,27,39,43899.24193414968,22253.62493721693,2217,31,26803,9152,10393,300,0,200,39,9.498
Gen_Data_500_5,6009.79,30.05,47,37,42057.07174811776,22425.485288212316,1881,49,26657,10250,12208,300,2,200,35,15.509
Gen_Data_500_6,6010.28,30.05,29,53,57798.26868890234,21635.588670762845,2589,28,26497,9762,11249,300,0,200,53,11.486
Gen_Data_500_7,5944.54,29.72,35,54,58873.322664723426,22108.12828194133,2378,38,26735,9714,11391,300,5,200,49,13.702
Gen_Data_500_8,5955.8,29.78,35,51,55803.739685447596,21945.16315728429,2435,29,26652,9814,11177,300,3,200,48,11.81
Gen_Data_500_9,6004.41,30.02,35,57,61754.56637056933,22242.30574915559,2284,54,26767,9436,10873,300,0,200,57,10.471
Gen_Data_500_10,5925.2,29.63,43,52,56808.428022001695,21681.13278592808,2676,62,26619,8649,9970,300,2,200,50,10.643
