ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_1,5961.32,29.81,34.0,37.0,42043.38054352767,22421.153110079817,1921.0,48.0,26688.0,10214.0,12039.0,300.0,2.0,200.0,35.0,12.882
Gen_Data_500_2,6011.62,30.06,24.0,48.0,52981.42528530916,22253.48138238321,1844.0,48.0,26388.0,14113.0,11697.0,500.0,0.0,200.0,48.0,14.122
Gen_Data_500_3,6012.88,30.06,27.0,45.0,50011.61335664287,21884.974909436514,2082.0,94.0,26276.0,14166.0,12038.0,500.0,1.0,200.0,44.0,14.104
Gen_Data_500_4,5987.55,29.94,30.0,34.0,39019.023285183255,21795.08428702499,2528.0,134.0,26677.0,13292.0,10566.0,500.0,0.0,200.0,34.0,10.744
Gen_Data_500_5,6011.96,30.06,27.0,45.0,50041.55696282898,21972.440020425674,2264.0,104.0,26542.0,14680.0,12344.0,500.0,4.0,200.0,41.0,14.979
Gen_Data_500_6,6014.3,30.07,17.0,74.0,78596.95017724711,21845.733769218587,2589.0,76.0,26606.0,13552.0,10635.0,500.0,1.0,200.0,73.0,10.78
Gen_Data_500_7,6009.26,30.05,14.0,60.0,64829.25443492485,21756.21245571552,2767.0,47.0,26737.0,13626.0,11249.0,500.0,5.0,200.0,55.0,15.118
Gen_Data_500_8,5988.19,29.94,21.0,51.0,55821.160718429805,22316.356600229345,2164.0,45.0,26762.0,13883.0,11083.0,500.0,4.0,200.0,47.0,12.617
Gen_Data_500_9,6005.29,30.03,22.0,50.0,54890.42639171721,21775.4827843412,2523.0,55.0,26591.0,13521.0,11188.0,500.0,0.0,200.0,50.0,11.457
Gen_Data_500_10,5939.78,29.7,29.0,59.0,63752.45773715579,21153.98756785564,3383.0,30.0,26773.0,12709.0,9770.0,500.0,4.0,200.0,55.0,10.1
