ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_1,5961.32,29.81,34,37,42043.38054352767,22421.153110079817,1921,48,26688,10214,12039,300,2,200,35,12.882
Gen_Data_500_2,6011.62,30.06,24,48,52981.42528530916,22253.48138238321,1844,48,26388,14113,11697,500,0,200,48,14.122
Gen_Data_500_3,6012.88,30.06,27,45,50011.61335664287,21884.974909436514,2082,94,26276,14166,12038,500,1,200,44,14.104
Gen_Data_500_4,5987.55,29.94,30,34,39019.023285183255,21795.08428702499,2528,134,26677,13292,10566,500,0,200,34,10.744
Gen_Data_500_5,6011.96,30.06,27,45,50041.55696282898,21972.440020425674,2264,104,26542,14680,12344,500,4,200,41,14.979
Gen_Data_500_6,6014.3,30.07,17,74,78596.95017724711,21845.733769218587,2589,76,26606,13552,10635,500,1,200,73,10.78
Gen_Data_500_7,6009.26,30.05,14,60,64829.25443492485,21756.21245571552,2767,47,26737,13626,11249,500,5,200,55,15.118
Gen_Data_500_8,5988.19,29.94,21,51,55821.160718429805,22316.356600229345,2164,45,26762,13883,11083,500,4,200,47,12.617
Gen_Data_500_9,6005.29,30.03,22,50,54890.42639171721,21775.4827843412,2523,55,26591,13521,11188,500,0,200,50,11.457
Gen_Data_500_10,5939.78,29.7,29,59,63752.45773715579,21153.98756785564,3383,30,26773,12709,9770,500,4,200,55,10.1
