ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,3532.34,29.44,32.0,19.0,22042.945850630476,12982.095444189226,1288.0,27.0,15682.0,5992.0,7000.0,180.0,0.0,120.0,19.0,11.404
Gen_Data_300_2,3528.16,29.4,34.0,19.0,22076.301105680657,12767.844184159569,1434.0,16.0,15620.0,5741.0,6896.0,180.0,0.0,120.0,19.0,14.006
Gen_Data_300_3,3515.69,29.3,27.0,14.0,17042.37339234479,13205.366140084867,1049.0,28.0,15703.0,6016.0,6949.0,180.0,0.0,120.0,14.0,11.671
Gen_Data_300_4,3586.62,29.89,29.0,22.0,25005.284784302425,13323.653009949365,1008.0,21.0,15740.0,5848.0,6757.0,180.0,0.0,120.0,22.0,10.945
Gen_Data_300_5,3582.63,29.86,30.0,16.0,19028.490049312695,12648.66763565361,1452.0,16.0,15532.0,5827.0,6590.0,180.0,0.0,120.0,16.0,10.886
Gen_Data_300_6,3571.65,29.76,39.0,9.0,12194.211749318034,12727.39314737454,1505.0,52.0,15706.0,6812.0,8086.0,180.0,0.0,120.0,9.0,17.833
Gen_Data_300_7,3582.23,29.85,32.0,14.0,17055.886905150244,12878.621683036858,1302.0,9.0,15626.0,5902.0,6628.0,180.0,0.0,120.0,14.0,10.828
Gen_Data_300_8,3495.15,29.13,27.0,28.0,31141.31959628625,12900.000440883678,1445.0,1.0,15721.0,6183.0,7912.0,180.0,1.0,120.0,27.0,18.187
Gen_Data_300_9,3460.74,28.84,31.0,28.0,30957.86766157759,12490.816325635466,1530.0,28.0,15412.0,5696.0,6713.0,180.0,0.0,120.0,28.0,12.434
Gen_Data_300_10,3556.21,29.64,30.0,9.0,12108.248419315205,13262.241815632215,838.0,18.0,15568.0,6466.0,7403.0,180.0,0.0,120.0,9.0,15.437
