ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,3532.34,29.44,32,19,22042.945850630476,12982.095444189226,1288,27,15682,5992,7000,180,0,120,19,11.404
Gen_Data_300_2,3528.16,29.4,34,19,22076.301105680657,12767.844184159569,1434,16,15620,5741,6896,180,0,120,19,14.006
Gen_Data_300_3,3515.69,29.3,27,14,17042.37339234479,13205.366140084867,1049,28,15703,6016,6949,180,0,120,14,11.671
Gen_Data_300_4,3586.62,29.89,29,22,25005.284784302425,13323.653009949365,1008,21,15740,5848,6757,180,0,120,22,10.945
Gen_Data_300_5,3582.63,29.86,30,16,19028.490049312695,12648.66763565361,1452,16,15532,5827,6590,180,0,120,16,10.886
Gen_Data_300_6,3571.65,29.76,39,9,12194.211749318034,12727.39314737454,1505,52,15706,6812,8086,180,0,120,9,17.833
Gen_Data_300_7,3582.23,29.85,32,14,17055.886905150244,12878.621683036858,1302,9,15626,5902,6628,180,0,120,14,10.828
Gen_Data_300_8,3495.15,29.13,27,28,31141.31959628625,12900.000440883678,1445,1,15721,6183,7912,180,1,120,27,18.187
Gen_Data_300_9,3460.74,28.84,31,28,30957.86766157759,12490.816325635466,1530,28,15412,5696,6713,180,0,120,28,12.434
Gen_Data_300_10,3556.21,29.64,30,9,12108.248419315205,13262.241815632215,838,18,15568,6466,7403,180,0,120,9,15.437
