ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,6857.93,57.15,19.666666666666668,18.333333333333332,21560.257222878397,12463.232309340128,1784.0,171.66666666666666,15675.333333333334,8345.666666666666,7581.0,300.0,0.0,120.0,18.333333333333332,17.604
Gen_Data_300_2,6861.413333333333,57.17666666666667,17.333333333333332,19.333333333333332,22475.73592348048,12492.003646822346,1839.6666666666667,123.0,15754.666666666666,8446.0,7107.333333333333,300.0,0.0,120.0,19.333333333333332,15.553333333333335
Gen_Data_300_3,6966.256666666667,58.04999999999999,15.333333333333334,15.666666666666666,18867.25422382013,12705.952280859492,1574.3333333333333,125.0,15716.666666666666,8712.666666666666,7625.666666666667,300.0,0.0,120.0,15.666666666666666,18.013666666666666
Gen_Data_300_4,6932.536666666667,57.77,19.333333333333332,21.333333333333332,24423.705645342736,12811.796897314374,1369.6666666666667,88.33333333333333,15597.333333333334,8207.0,6924.333333333333,300.0,0.0,120.0,21.333333333333332,12.999333333333334
Gen_Data_300_5,6994.44,58.28333333333333,22.666666666666668,12.666666666666666,15947.798899724256,12400.529368139045,1791.3333333333333,99.0,15643.0,8601.333333333334,7520.0,300.0,0.0,120.0,12.666666666666666,17.619333333333334
Gen_Data_300_6,7020.093333333333,58.50333333333333,23.0,9.666666666666666,13070.304055349168,12574.886513270676,1695.3333333333333,192.66666666666666,15741.333333333334,9326.666666666666,8969.666666666666,300.0,0.0,120.0,9.666666666666666,22.602
Gen_Data_300_7,7100.97,59.17333333333334,24.666666666666668,12.666666666666666,15873.71955855645,12526.852038280687,1602.6666666666667,144.66666666666666,15587.666666666666,8663.666666666666,7247.0,300.0,0.0,120.0,12.666666666666666,13.703666666666669
Gen_Data_300_9,6874.133333333334,57.28333333333334,21.666666666666668,20.333333333333332,23558.000918711263,12242.241032481854,1911.3333333333333,122.0,15588.666666666666,8686.333333333334,7729.666666666667,300.0,0.0,120.0,20.333333333333332,17.676
Gen_Data_300_10,7025.506666666667,58.54666666666666,19.666666666666668,12.666666666666666,15951.856349630665,12830.691332487766,1326.3333333333333,121.33333333333333,15608.666666666666,8809.666666666666,8086.0,300.0,0.6666666666666666,120.0,12.0,19.482666666666667
Gen_Data_300_8,7014.07,58.45,27.0,22.0,25258.13492595296,12836.095003542128,1591.5,129.5,15836.5,8918.0,8536.5,300.0,3.0,120.0,19.0,21.0305
