ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_1,11919.336666666668,59.596666666666664,33.333333333333336,36.666666666666664,41605.30684674307,21952.452780783104,2213.3333333333335,30.0,26510.333333333332,10124.666666666666,11439.333333333334,300.0,0.0,200.0,36.666666666666664,11.298333333333332
Gen_Data_500_2,11970.583333333334,59.85333333333333,54.0,25.333333333333332,30553.343928128572,22326.18957323946,1382.3333333333333,71.33333333333333,26117.333333333332,10439.0,12432.666666666666,300.0,0.0,200.0,25.333333333333332,14.133000000000001
Gen_Data_500_3,11791.316666666666,58.95666666666667,45.0,33.666666666666664,38808.23996657495,22097.945038411995,1847.6666666666667,69.66666666666667,26309.0,10372.666666666666,12492.666666666666,300.0,0.0,200.0,33.666666666666664,15.437
Gen_Data_500_4,11657.713333333333,58.28666666666667,39.666666666666664,31.0,35988.85651732545,22176.761277514248,2099.3333333333335,71.0,26652.666666666668,9216.0,10498.666666666666,300.0,0.0,200.0,31.0,9.985000000000001
Gen_Data_500_5,11830.769999999999,59.15333333333333,47.0,34.0,39112.699359729435,22062.04371062852,1983.6666666666667,64.66666666666667,26414.333333333332,10263.333333333334,12300.0,300.0,0.0,200.0,34.0,15.486333333333334
Gen_Data_500_6,11682.786666666667,58.413333333333334,35.0,49.333333333333336,54273.907159554474,22349.753159252625,1860.3333333333333,24.666666666666668,26502.0,9902.333333333334,11705.0,300.0,0.0,200.0,49.333333333333336,13.437333333333333
Gen_Data_500_7,11861.896666666667,59.31,39.666666666666664,39.666666666666664,44684.98620443922,22143.683510422135,2193.0,36.333333333333336,26666.0,10052.0,11821.333333333334,300.0,0.0,200.0,39.666666666666664,13.597999999999999
Gen_Data_500_8,11883.703333333333,59.416666666666664,42.666666666666664,40.666666666666664,45665.79384894495,22179.866237126484,2169.3333333333335,39.0,26671.333333333332,10032.333333333334,11735.333333333334,300.0,0.0,200.0,40.666666666666664,13.414333333333333
Gen_Data_500_9,11900.926666666666,59.50666666666666,42.666666666666664,37.333333333333336,42390.90751412264,22219.572211810024,2043.0,30.0,26607.333333333332,9821.666666666666,11651.0,300.0,0.0,200.0,37.333333333333336,13.027000000000001
Gen_Data_500_10,11799.766666666668,58.99666666666667,49.333333333333336,48.333333333333336,53207.41709517609,21784.543627045106,2659.3333333333335,23.0,26741.333333333332,8748.0,10050.666666666666,300.0,0.0,200.0,48.333333333333336,9.912999999999998
