ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_1,11902.7,59.51,42,34,38965.82755511294,21679.09585861265,2462,53,26493,10220,11621,300,0,200,34,11.166
Gen_Data_500_2,11997.8,59.99,52,30,35196.25233802083,22175.068961493304,1629,47,26182,10289,12210,300,0,200,30,13.626
Gen_Data_500_3,11555.41,57.78,51,30,35288.39804095183,22362.629404858875,1651,98,26393,10509,13098,300,0,200,30,16.92
Gen_Data_500_4,11874.45,59.37,34,28,33061.45854118231,22037.905658492626,2129,79,26549,9330,10893,300,0,200,28,12.166
Gen_Data_500_5,11545.82,57.73,49,34,39176.19840249802,22022.690497381256,2134,75,26531,10296,12462,300,0,200,34,15.184
Gen_Data_500_6,11327.9,56.64,37,47,52002.08425262447,22313.2304181685,1972,13,26598,10040,11975,300,0,200,47,14.555
Gen_Data_500_7,11896.24,59.48,37,44,48952.63706831966,22496.55649321083,1887,12,26701,9937,11682,300,0,200,44,13.611
Gen_Data_500_8,11869.94,59.35,40,45,49976.1298366582,22306.177461088984,2162,42,26762,9850,11532,300,0,200,45,12.974
Gen_Data_500_9,11925.49,59.63,40,39,43995.13854854119,22166.204854469477,2218,47,26718,9810,11479,300,0,200,39,12.157
Gen_Data_500_10,11778.44,58.89,51,48,52885.06504263637,21523.60879874686,2844,30,26663,8726,10069,300,0,200,48,10.485
