ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,5741.43,29.41,41,14,17459.1655498359,12647.628863645388,980,279,15083,9093,8916,240,0,180,14,24.143
Gen_Data_300_2,5693.66,29.19,34,20,23487.46579569573,12755.139965737955,1009,183,15177,8794,8855,240,0,180,20,25.68
Gen_Data_300_3,5632.0,28.97,46,17,20446.725241047934,12875.563019089504,814,148,15119,8600,8854,240,0,180,17,24.541
Gen_Data_300_4,5679.22,29.23,39,17,20266.587613466785,12719.36042595177,827,143,14985,8690,7757,240,1,180,16,18.531
Gen_Data_300_5,5698.08,29.01,36,15,18497.02351204445,12637.8999723281,1102,136,15190,8423,8923,240,0,180,15,27.199
Gen_Data_300_6,5704.21,29.24,44,18,21527.200468593524,12979.483107270153,801,102,15201,9003,9175,240,0,180,18,25.847
Gen_Data_300_7,5732.3,29.34,34,13,16298.634716076536,12782.465659790643,923,159,15141,7975,7617,240,0,180,13,18.673
Gen_Data_300_8,5691.66,29.18,40,21,24224.441171450286,12554.98882403676,1127,119,15093,8167,7247,240,0,180,21,17.682
Gen_Data_300_9,5736.88,29.28,38,14,17408.89979060469,12576.349871156901,1040,157,15068,8493,8116,240,0,180,14,22.572
Gen_Data_300_10,5728.57,29.4,40,17,20427.666296512652,12541.738897030562,1199,223,15175,8717,8401,240,0,180,17,21.304
