ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,5432.150000000001,28.72,39.333333333333336,14.666666666666666,17835.453664275312,13145.622398566482,497.3333333333333,40.666666666666664,15096.666666666666,6347.0,7764.333333333333,120.0,0.0,180.0,14.666666666666666,17.49266666666667
Gen_Data_300_2,5480.813333333334,28.960000000000004,42.0,23.0,26152.908251720324,13075.867193461963,531.0,51.0,14995.333333333334,6203.333333333333,7774.0,120.0,0.0,180.0,23.0,17.602999999999998
Gen_Data_300_3,5360.03,28.36,51.333333333333336,17.333333333333332,20614.021592054294,13150.515719714618,554.6666666666666,53.666666666666664,15138.666666666666,6173.666666666667,8196.666666666666,120.0,0.0,180.0,17.333333333333332,21.493
Gen_Data_300_4,5418.123333333333,28.683333333333334,42.333333333333336,19.666666666666668,22810.373577937335,13037.051872262475,575.0,36.0,15035.0,6048.0,7454.666666666667,120.0,1.0,180.0,18.666666666666668,17.305333333333333
Gen_Data_300_5,5475.243333333333,28.88,39.333333333333336,13.666666666666666,16980.208637377913,13099.907543572977,553.6666666666666,39.333333333333336,15100.666666666666,6437.333333333333,8408.0,120.0,0.0,180.0,13.666666666666666,22.935666666666666
Gen_Data_300_6,5474.400000000001,28.986666666666665,49.333333333333336,9.333333333333334,12791.433909583413,13081.505860016972,459.0,52.0,15008.333333333334,6617.0,8979.0,120.0,0.0,180.0,9.333333333333334,24.358
Gen_Data_300_7,5472.586666666667,28.983333333333334,48.0,16.0,19204.993926799285,13159.31468724522,504.6666666666667,31.666666666666668,15094.666666666666,5748.0,7366.666666666667,120.0,0.0,180.0,16.0,18.375666666666664
Gen_Data_300_8,5477.913333333333,28.959999999999997,41.666666666666664,19.0,22124.29748134583,12766.747137824199,727.6666666666666,24.666666666666668,14917.333333333334,5645.0,6924.666666666667,120.0,0.0,180.0,19.0,15.135666666666665
Gen_Data_300_9,5511.186666666667,29.119999999999994,42.333333333333336,15.333333333333334,18501.104809796976,13181.19877472452,480.0,16.0,15098.666666666666,5781.666666666667,7247.333333333333,120.0,0.0,180.0,15.333333333333334,15.860333333333335
Gen_Data_300_10,5516.733333333334,29.099999999999998,45.333333333333336,15.666666666666666,18845.619634904473,13174.4431242895,536.6666666666666,33.333333333333336,15151.333333333334,5947.333333333333,7363.333333333333,120.0,0.0,180.0,15.666666666666666,17.728666666666665
