ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,5464.12,28.91,31,15,18088.840108828008,13199.999647233106,484,41,15140,6291,7431,120,0,180,15,15.368
Gen_Data_300_2,5522.66,29.12,46,21,24187.97702636995,13041.906119822046,560,80,14997,6213,7884,120,0,180,21,19.083
Gen_Data_300_3,5317.87,28.09,56,11,14358.993246958846,13223.738737480191,481,26,15173,6321,8339,120,0,180,11,21.642
Gen_Data_300_4,5461.45,28.88,45,18,21251.976433306405,13134.425059803292,457,23,15024,6056,7681,120,1,180,17,19.195
Gen_Data_300_5,5506.9,28.97,35,14,17277.653017034863,13158.529986423539,500,44,15107,6373,8176,120,0,180,14,22.08
Gen_Data_300_6,5493.89,28.99,62,10,13573.33077890899,13040.4809103258,440,53,14951,6595,9524,120,0,180,10,27.925
Gen_Data_300_7,5509.18,29.22,50,15,18306.790604304664,13137.72076311858,534,42,15108,5847,7822,120,0,180,15,20.688
Gen_Data_300_8,5525.01,29.19,36,22,25135.49124017007,12823.085372353351,743,13,14971,5537,7042,120,0,180,22,15.631
Gen_Data_300_9,5487.68,29.04,45,17,20136.86980596642,13184.794129043154,500,2,15120,5722,7156,120,0,180,17,16.809
Gen_Data_300_10,5555.0,29.19,52,17,20223.450169277574,13095.344264089623,580,46,15099,6029,7600,120,0,180,17,18.681
