ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_20_1,6.023999999999999,0.686,0.0,6.0,6146.363636363636,1165.474329542379,95.0,0.0,1334.0,268.0,296.0,12.0,4.0,8.0,2.0,3.3329999999999997
Gen_Data_20_2,7.242,0.836,1.0,5.0,5150.0,956.331217090081,79.0,0.0,1113.0,169.0,169.0,12.0,3.0,8.0,2.0,0.0
Gen_Data_20_3,11.722,1.394,1.0,3.0,3170.0,1210.0826303140632,300.0,0.0,1598.0,324.0,324.0,12.0,1.0,8.0,2.0,0.0
Gen_Data_20_4,11.67,1.388,2.0,3.0,3188.594566353187,1101.4530773075664,337.0,23.0,1526.0,329.0,440.0,12.0,2.0,8.0,1.0,6.667
Gen_Data_20_5,8.818000000000001,1.0180000000000002,0.0,3.0,3187.8947368421054,1059.0134916375114,389.0,0.0,1535.0,292.0,408.0,12.0,2.0,8.0,1.0,10.0
Gen_Data_20_6,11.804,1.394,2.0,5.0,5155.384615384615,1202.1423504406946,14.0,0.0,1295.0,351.0,358.0,12.0,1.0,8.0,4.0,2.857
Gen_Data_20_7,7.602000000000001,0.882,0.0,5.0,5159.137931034483,1155.169862117935,122.0,0.0,1356.0,244.0,297.0,12.0,2.0,8.0,3.0,8.0
Gen_Data_20_8,8.203999999999999,0.952,0.0,7.0,7152.530621832948,1092.6913720142743,0.0,0.0,1160.0,342.0,472.0,12.0,3.0,8.0,4.0,16.667
Gen_Data_20_9,12.302,1.466,1.0,3.0,3170.0,1068.1881758652164,150.0,0.0,1305.0,250.0,250.0,12.0,0.0,8.0,3.0,0.0
Gen_Data_20_10,10.358,1.2260000000000002,2.0,5.0,5163.8,1221.5014065717696,190.0,0.0,1488.0,386.0,455.0,12.0,3.0,8.0,2.0,5.0
