ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_1,13951.09,60.11,25,13,18125.380717483506,26277.742425326887,1566,34,30317,11389,12559,300,0,200,13,7.11
Gen_Data_500_2,14085.87,60.05,28,4,9177.924359743163,26094.872041844792,2324,9,30932,10805,11734,300,0,200,4,6.962
Gen_Data_500_3,13796.78,59.9,39,3,8139.726204331359,26342.14256237229,2188,28,31052,11191,12054,300,0,200,3,6.554
Gen_Data_500_4,14603.81,59.97,26,6,11131.707341377429,26034.67527176968,1848,58,30384,10172,11071,300,0,200,6,5.946
Gen_Data_500_5,13847.03,60.01,35,5,10156.156441152321,26446.207856123594,2119,57,31073,10989,11991,300,0,200,5,6.282
Gen_Data_500_6,13856.94,59.96,28,5,10044.891671149842,26108.356480794366,2319,10,30946,10829,11292,300,1,200,4,4.474
Gen_Data_500_7,13897.05,60.11,24,2,7099.065522610852,26693.079206060258,1748,13,30967,11065,11601,300,0,200,2,4.925
Gen_Data_500_8,13977.71,60.11,22,11,15981.997916697968,26263.773362488806,1433,5,30175,10360,10733,300,0,200,11,2.917
Gen_Data_500_9,14696.21,60.14,27,9,14097.582753021648,26236.10609812957,1869,73,30591,11316,12251,300,0,200,9,7.171
Gen_Data_500_10,14609.26,60.14,29,4,9085.994561416243,26235.49659581141,1821,22,30586,10131,10687,300,0,200,4,4.968
