ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_20_1,22.381999999999998,2.69,2.0,4.0,4185.254901960784,1135.9806509607959,67.0,0.0,1284.0,333.0,413.0,12.0,1.0,8.0,3.0,4.444
Gen_Data_20_2,8.406,0.976,1.2,2.0,2198.245614035088,1327.8858321587663,125.6,0.0,1549.6,365.0,425.0,12.0,0.0,8.0,2.0,4.444
Gen_Data_20_3,11.693999999999999,1.37,1.2,3.8,3963.083333333333,1103.5467342995714,160.6,0.0,1346.4,254.8,257.4,12.0,1.0,8.0,2.8,0.6666000000000001
Gen_Data_20_4,15.169999999999998,1.8039999999999998,1.0,4.0,4171.219512195122,981.5386315467291,207.4,0.0,1340.8,246.0,292.0,12.0,1.0,8.0,3.0,4.0
Gen_Data_20_5,13.622,1.61,1.6,3.4,3566.0,1192.4533285026748,92.4,0.0,1369.6,306.8,306.8,12.0,1.0,8.0,2.4,0.0
Gen_Data_20_6,12.026,1.41,0.8,4.2,4363.076923076924,1167.9011654772698,203.4,0.0,1451.6,272.2,290.4,12.0,0.0,8.0,4.2,1.3334
Gen_Data_20_7,19.088,2.306,1.8,4.0,4160.0,1091.1852576274075,95.8,0.0,1267.4,241.8,241.8,12.0,2.0,8.0,2.0,0.0
Gen_Data_20_8,20.498,2.466,1.0,2.0,2193.125,1348.203389862245,114.0,0.0,1557.0,393.0,456.0,12.0,1.0,8.0,1.0,8.0
Gen_Data_20_9,11.559999999999999,1.356,1.0,4.0,4160.0,1077.518088919341,128.2,0.0,1286.2,274.0,274.0,12.0,1.0,8.0,3.0,0.0
Gen_Data_20_10,17.753999999999998,2.128,0.2,3.0,3177.6828703703704,971.9355915966732,218.8,0.2,1638.6,285.0,314.8,12.0,1.0,8.0,2.0,3.9998000000000005
