ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_1,10.69,1.25,1,3,3197.5356037151705,1380.5016519172855,211,0,1679,372,465,12,0,8,3,7.5
Gen_Data_20_2,8.68,1.01,0,2,2180.0,1490.2559879973774,204,0,1792,377,377,12,0,8,2,0.0
Gen_Data_20_3,10.14,1.18,1,1,1191.5094339622642,1694.3769546466674,73,1,1864,332,340,12,0,8,1,3.333
Gen_Data_20_4,10.84,1.28,0,4,4160.0,1463.4584802362433,203,0,1749,228,228,12,0,8,4,0.0
Gen_Data_20_5,13.85,1.64,0,3,3179.7872340425533,1366.3545921621499,77,0,1530,313,359,12,1,8,2,4.167
Gen_Data_20_6,10.32,1.21,0,4,4160.0,1318.9642642184513,52,0,1452,267,267,12,0,8,4,0.0
Gen_Data_20_7,9.25,1.09,1,3,3170.0,1317.7322771917197,179,0,1581,272,272,12,1,8,2,0.0
Gen_Data_20_8,12.73,1.51,1,1,1205.0117924528302,1633.0766982540958,234,0,1963,454,527,12,0,8,1,10.0
Gen_Data_20_9,11.41,1.33,0,2,2187.0,1344.8637758725567,163,0,1599,363,398,12,0,8,2,4.167
Gen_Data_20_10,10.4,1.19,0,3,3170.0,1556.5098120388725,150,0,1799,289,289,12,0,8,3,0.0
