ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_1,2907.566,47.674,10.2,12.8,13823.635457961023,4285.21999100766,764.6,54.0,5498.6,2997.2,2319.2,100.0,2.0,60.0,10.8,17.0486
Gen_Data_100_2,2853.3399999999997,46.803999999999995,8.8,18.4,19434.221945496243,4260.230480105095,766.8,91.8,5442.4,3282.6,2779.0,100.0,0.0,60.0,18.4,22.9976
Gen_Data_100_3,2746.906,45.001999999999995,9.6,11.4,12434.7158321432,4558.18808559327,531.8,71.4,5541.2,3001.8,2278.4,100.0,1.0,60.0,10.4,15.842000000000002
Gen_Data_100_4,2721.8900000000003,44.668,12.6,13.6,14703.395107533652,4467.901007989392,535.4,69.6,5439.8,3324.0,3075.2,100.0,0.0,60.0,13.6,25.899199999999997
Gen_Data_100_5,2613.928,42.896,11.4,13.0,14127.559633507795,4481.088969393294,527.2,77.2,5455.0,3191.6,2902.6,100.0,0.0,60.0,13.0,23.306800000000003
Gen_Data_100_6,2735.75,44.854,12.4,10.4,11499.345766553874,4457.975578047567,641.0,88.2,5554.4,3047.0,2561.4,100.0,1.0,60.0,9.4,19.9454
Gen_Data_100_7,2849.532,46.73,9.2,14.6,15597.744306299235,4440.350808087933,679.2,96.2,5558.8,2854.0,2166.4,100.0,1.0,60.0,13.6,15.340399999999999
Gen_Data_100_8,2671.186,43.786,7.6,17.8,18787.184822376053,4667.336940912346,497.0,61.0,5582.0,3076.2,2458.8,100.0,0.0,60.0,17.8,16.726599999999998
Gen_Data_100_9,2792.942,45.79600000000001,12.0,8.8,9915.77702973001,4409.988522388967,659.6,67.8,5529.4,3169.6,2579.4,100.0,0.0,60.0,8.8,19.866400000000002
Gen_Data_100_10,2992.258,49.077999999999996,13.4,9.4,10473.288074931834,4341.090953175719,741.2,72.4,5544.0,2906.4,2335.2,100.0,1.0,60.0,8.4,15.535999999999998
