ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,11232.11,58.15,36,17,20287.89298725602,12858.304379890124,1160,203,15450,9488,7609,300,0,180,17,18.36
Gen_Data_300_2,11126.29,57.4,36,21,24428.496305949408,12583.09275373331,1374,191,15372,9601,8377,300,0,180,21,24.369
Gen_Data_300_3,11183.25,57.81,43,18,21419.556886241568,12517.221074768824,1471,182,15422,10201,8747,300,0,180,18,24.521
Gen_Data_300_4,11284.65,58.57,35,15,18406.43139789523,12657.822559353566,1268,238,15375,9519,7686,300,0,180,15,20.173
Gen_Data_300_5,11285.46,58.09,42,21,24498.78075082305,12728.171701048042,1328,229,15465,10054,9576,300,0,180,21,28.564
Gen_Data_300_6,10938.78,56.56,27,25,28336.162158175757,12664.18712248673,1406,227,15470,9600,8186,300,0,180,25,23.397
Gen_Data_300_7,11438.62,59.29,39,17,20485.80499703428,12695.412292651066,1127,260,15248,10242,8855,300,0,180,17,24.431
Gen_Data_300_8,11226.34,58.14,44,16,19413.90603490589,12559.856066893604,1373,297,15367,10034,8044,300,0,180,16,18.734
Gen_Data_300_9,11326.42,58.25,35,21,24281.163831714894,12253.55190556719,1690,211,15362,9738,7899,300,1,180,20,20.383
Gen_Data_300_10,11241.01,58.12,43,19,22256.253269530058,12464.068672551943,1498,188,15395,10220,8078,300,0,180,19,18.104
