ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_1,1209.596,19.808,11.0,14.0,14923.059109192784,4553.705415777613,396.2,10.8,5389.8,1723.2,2012.6,40.0,2.0,60.0,12.0,10.8708
Gen_Data_100_2,1326.0819999999999,21.702,16.0,22.0,22922.250950182835,4636.728026089092,432.0,34.0,5469.0,1821.0,2454.0,40.0,0.0,60.0,22.0,17.914
Gen_Data_100_3,1342.992,22.022,12.4,13.6,14568.373966817104,4723.54112699679,335.6,9.6,5500.2,1635.2,2053.2,40.0,1.0,60.0,12.6,10.769
Gen_Data_100_4,1196.3239999999998,19.612000000000002,13.2,16.2,17183.080812950848,4642.604177292147,271.4,9.6,5344.0,2028.2,2645.6,40.0,0.0,60.0,16.2,18.5004
Gen_Data_100_5,1241.118,20.368000000000002,16.0,14.0,15008.243663151112,4579.011992980108,304.0,2.0,5325.0,2019.0,2697.0,40.0,0.0,60.0,14.0,17.208
Gen_Data_100_6,1233.99,20.208,9.4,10.4,11439.28598775114,4639.217515398851,312.8,21.2,5404.0,1805.2,2338.2,40.0,1.0,60.0,9.4,16.9858
Gen_Data_100_7,1171.804,19.168,14.8,13.6,14541.247188653277,4639.496180555643,343.6,38.8,5424.8,1623.4,1946.8,40.0,1.0,60.0,12.6,10.5716
Gen_Data_100_8,1302.828,21.324,13.0,17.8,18774.006879805194,4753.327210397864,358.2,16.4,5525.6,1827.2,2426.2,40.0,0.0,60.0,17.8,16.061
Gen_Data_100_9,1232.288,20.2,19.0,16.0,16981.6943292356,4641.459087483524,427.0,40.0,5494.0,1664.0,2329.0,40.0,0.0,60.0,16.0,15.751
Gen_Data_100_10,1273.8159999999998,20.898,18.6,10.6,11642.876959937023,4553.840600383317,443.2,5.4,5455.0,1679.2,2246.8,40.0,1.0,60.0,9.6,15.8246
