ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,10601.12,56.77,42,12,15119.349795300199,13281.830879540947,743,20,15480,6090,7060,120,0,180,12,12.079
Gen_Data_300_2,10520.92,56.15,41,22,25072.494833635432,13378.580734042715,741,25,15526,5941,7262,120,0,180,22,14.771
Gen_Data_300_3,10295.8,55.09,48,23,26275.865834996097,12901.024421565286,767,3,15078,6189,8421,120,0,180,23,22.82
Gen_Data_300_4,10774.49,57.57,38,9,12195.799688765766,13270.406687219336,648,20,15394,5757,6787,120,0,180,9,11.467
Gen_Data_300_5,10725.74,57.29,49,13,16361.687512967115,13321.572990165057,825,43,15585,6787,8941,120,0,180,13,22.686
Gen_Data_300_6,10433.23,55.86,44,22,25074.1355180909,13282.754735943667,701,44,15394,5850,7224,120,0,180,22,16.951
Gen_Data_300_7,10802.58,57.92,47,8,11268.790714109648,13001.394708740987,551,36,15028,6481,8103,120,0,180,8,20.088
Gen_Data_300_8,10669.91,57.12,41,8,11209.954919009684,13078.353648808807,883,25,15445,6075,7263,120,0,180,8,13.98
Gen_Data_300_9,10540.94,56.56,53,13,16328.48693024047,13103.640757451314,885,95,15441,5969,7885,120,1,180,12,20.608
Gen_Data_300_10,10627.18,56.86,57,9,12274.52790513848,13397.849492276668,618,75,15494,6392,8096,120,0,180,9,17.618
