ScenarioName,TotalCost,nTaxi
Gen_Data_300_1,6239.854486364089,3
Gen_Data_300_1,6234.763557497865,3
Gen_Data_300_2,12331.205850969887,9
Gen_Data_300_2,12208.883705714012,9
Gen_Data_300_3,7365.631897024807,4
Gen_Data_300_3,10336.895350896044,7
Gen_Data_300_4,6313.746145639372,3
Gen_Data_300_4,5166.622502130229,2
Gen_Data_300_5,6529.472230206593,3
Gen_Data_300_5,13440.509820994059,10
Gen_Data_300_6,9325.612646225087,6
Gen_Data_300_6,11190.898245763006,8
Gen_Data_300_7,7275.730143645214,4
Gen_Data_300_7,5270.05309150601,2
Gen_Data_300_8,7230.155452944569,4
Gen_Data_300_8,6244.116997772686,3
Gen_Data_300_9,7227.85181912259,4
Gen_Data_300_9,6258.230984152611,3
Gen_Data_300_10,10385.902994207685,7
Gen_Data_300_10,8290.129032336943,5
