ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_1,1817.6199999999997,44.733999999999995,5.0,15.2,16183.247869728171,4656.573662823681,400.2,63.2,5491.4,3224.2,2447.2,120.0,2.0,40.0,13.2,16.8962
Gen_Data_100_2,1893.5700000000002,46.666,6.2,11.6,12620.301805463727,4623.49891938886,410.8,76.8,5482.0,2949.4,2208.4,120.0,1.0,40.0,10.6,14.4098
Gen_Data_100_3,1869.7259999999999,46.047999999999995,4.4,16.4,17392.820474668613,4451.745536907299,477.0,69.4,5355.0,3133.0,2461.4,120.0,1.0,40.0,15.4,18.1482
Gen_Data_100_4,1869.404,46.025999999999996,6.8,10.4,11420.958918703993,4621.104686425731,399.2,40.2,5476.2,3227.8,2528.6,120.0,0.0,40.0,10.4,14.180600000000002
Gen_Data_100_5,1938.102,47.742,3.2,10.2,11222.345920962722,4575.047005177304,404.4,31.2,5434.0,2963.4,2216.4,120.0,0.0,40.0,10.2,16.6796
Gen_Data_100_6,1905.22,46.928000000000004,7.6,13.2,14237.221589900797,4561.817348186215,343.8,42.8,5350.2,3151.8,2592.8,120.0,0.0,40.0,13.2,16.8356
Gen_Data_100_7,1893.518,46.66799999999999,5.8,16.4,17382.06807885531,4511.32311738378,566.6,50.8,5501.2,3131.2,2520.8,120.0,2.0,40.0,14.4,17.7072
Gen_Data_100_8,1959.0520000000001,48.164,6.6,9.4,10411.469342521154,4545.58512241032,421.6,71.6,5425.6,3254.8,2447.0,120.0,0.0,40.0,9.4,14.7714
Gen_Data_100_9,1875.9399999999998,46.17,5.6,11.2,12232.355140680742,4421.778945300606,525.0,41.4,5399.4,3084.6,2352.2,120.0,0.0,40.0,11.2,15.5548
Gen_Data_100_10,1786.3780000000002,44.024,3.2,19.6,20575.333387672395,4656.282607544594,442.0,96.2,5506.6,3551.4,2997.6,120.0,2.8,40.0,16.8,19.9902
