ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_1,31.11,3.8,0,5,5160.750995134896,1024.8125559739087,322,19,1425,632,371,24,1,8,4,5.0
Gen_Data_20_2,23.93,2.91,0,3,3185.1481481481483,1006.2913622595476,341,8,1435,612,429,24,0,8,3,9.714
Gen_Data_20_3,29.64,3.61,1,3,3171.3207547169814,1076.4952985078892,290,0,1452,503,310,24,1,8,2,5.0
Gen_Data_20_4,34.26,4.19,0,3,3200.7542155425217,1100.5866898797435,255,0,1439,477,453,24,1,8,2,13.333
Gen_Data_20_5,37.64,4.61,0,3,3196.2578222778475,1228.8986306265804,255,0,1569,542,375,24,1,8,2,9.524
Gen_Data_20_6,28.23,3.44,0,3,3195.3846153846152,1165.5334744844406,335,0,1586,500,379,24,0,8,3,5.714
Gen_Data_20_7,28.24,3.44,3,3,3189.0,1121.362271746063,388,0,1594,501,307,24,2,8,1,4.0
Gen_Data_20_8,37.55,4.61,0,2,2204.21480228084,1264.4669021568952,257,18,1616,597,489,24,1,8,1,11.857
Gen_Data_20_9,28.21,3.43,0,4,4160.0,915.7212783020746,483,0,1479,609,274,24,1,8,3,0.0
Gen_Data_20_10,33.29,4.07,0,3,3195.2362472766886,912.1710962805166,269,16,1630,633,399,24,1,8,2,10.667
