ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,7664.710000000001,59.996,14.0,29.6,32595.325358801045,12035.740711213253,973.4,117.0,14385.8,7590.0,6224.0,300.0,0.0,120.0,29.6,11.9966
Gen_Data_300_2,7752.74,60.06,12.2,27.0,30031.12012649756,12250.371630743426,964.0,111.0,14600.2,8471.2,6972.8,300.0,0.0,120.0,27.0,13.584999999999999
Gen_Data_300_3,7630.267999999999,59.616,17.6,30.8,33876.61793979191,12410.37175001785,790.6,117.4,14562.6,8998.4,7875.6,300.0,0.2,120.0,30.6,17.739799999999995
Gen_Data_300_4,7729.338000000001,60.064,10.8,22.6,25668.588635773915,12197.725953557838,917.2,113.6,14518.8,7922.0,6753.6,300.0,0.0,120.0,22.6,13.104999999999999
Gen_Data_300_5,7739.74,60.012,12.2,26.2,29249.588354485146,12104.382655760877,986.0,135.2,14470.4,8088.8,6476.2,300.0,0.0,120.0,26.2,12.915000000000001
Gen_Data_300_6,7687.7119999999995,59.955999999999996,10.0,32.2,35304.56778463983,12212.166796369818,889.2,154.2,14448.4,9021.2,7833.8,300.0,0.0,120.0,32.2,20.1758
Gen_Data_300_7,7655.002,59.70399999999999,16.8,30.0,33024.65772786019,12382.765017131915,755.8,143.2,14507.0,8369.8,7073.8,300.0,0.0,120.0,30.0,15.099
Gen_Data_300_8,7698.375999999999,59.782000000000004,13.8,19.6,22695.678733643108,12169.855604515053,1014.6,118.0,14593.2,7893.6,6685.6,300.0,1.0,120.0,18.6,14.680800000000001
Gen_Data_300_9,7582.968000000001,59.193999999999996,13.0,32.8,35858.32396440847,12316.148352019398,812.0,126.8,14481.8,8489.2,7347.0,300.0,0.0,120.0,32.8,16.952199999999998
Gen_Data_300_10,7645.048000000001,59.548,12.6,22.8,25926.117998985712,12203.564044074637,948.8,134.6,14559.8,7717.0,6825.8,300.0,0.0,120.0,22.8,14.798399999999997
