ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_1,14574.63,60.1,3,87,91678.15796483007,19027.894743106575,2325,319,23455,12982,10942,500,0,200,87,15.385
Gen_Data_500_2,14468.78,60.17,3,81,85790.65441739076,19417.70301590025,1674,296,23208,13285,11265,500,0,200,81,17.621
Gen_Data_500_3,14971.39,60.21,2,81,85624.66324390408,18623.823701589987,2632,428,23384,12064,9477,500,2,200,79,10.353
Gen_Data_500_4,14662.81,60.18,3,75,79684.53752246281,18993.232071549482,2233,354,23379,12635,9971,500,0,200,75,11.643
Gen_Data_500_5,14358.48,60.16,9,77,81752.73922825055,19242.068223124446,2047,147,23417,13912,11640,500,1,200,76,16.179
Gen_Data_500_6,14419.25,60.17,2,92,96558.70777757741,19223.277392367505,2072,244,23352,13437,10987,500,1,200,91,14.346
Gen_Data_500_7,14484.58,60.14,4,82,86576.689758876,19240.943405716298,1960,204,23313,12594,9952,500,0,200,82,12.06
Gen_Data_500_8,14606.56,60.17,2,77,81688.19469801502,19132.24692758796,2244,346,23512,12798,10121,500,1,200,76,10.916
Gen_Data_500_9,14440.33,60.07,0,93,97504.20322800968,18951.22189913999,2584,297,23589,13518,10404,500,0,200,93,13.663
Gen_Data_500_10,14405.79,60.03,2,87,91661.80116104198,19183.35357105293,2094,243,23363,13439,10923,500,0,200,87,13.894
