ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,7605.46,60.06,32,22,25058.488524901557,12259.894923601465,653,49,14333,5272,6409,180,0,120,22,13.748
Gen_Data_300_2,7603.26,60.05,32,28,31002.192885592525,12412.495104872354,557,45,14359,5870,7142,180,0,120,28,14.329
Gen_Data_300_3,7572.63,59.44,28,30,32946.208033555005,12893.785517412358,280,4,14537,6051,7223,180,0,120,30,15.38
Gen_Data_300_4,7607.43,60.05,34,20,22955.12331970624,12398.628361512814,474,24,14298,5629,6321,180,0,120,20,11.144
Gen_Data_300_5,7600.59,59.98,41,17,20046.688581110262,12203.341887611405,649,9,14274,5620,6477,180,0,120,17,11.341
Gen_Data_300_6,7567.28,59.87,35,24,27137.152679927378,12521.349862276662,425,25,14333,6428,8041,180,0,120,24,21.219
Gen_Data_300_7,7526.82,59.34,43,28,31051.647052337117,12578.796995941575,402,83,14355,5790,7149,180,0,120,28,13.51
Gen_Data_300_8,7648.78,59.7,31,19,22051.55533173489,12660.46207609533,456,32,14539,5530,6559,180,1,120,18,14.518
Gen_Data_300_9,7546.61,59.13,39,24,27166.34196293139,12495.384417905017,554,71,14451,5989,7620,180,0,120,24,19.422
Gen_Data_300_10,7520.34,59.63,38,17,20026.371315474546,12472.629516624413,566,17,14470,5607,6395,180,0,120,17,12.497
