ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_1,1703.866,41.95,4.6,13.6,14580.580133685935,4751.304833468757,301.0,51.4,5491.4,2877.0,2371.6,100.0,2.0,40.0,11.6,13.132
Gen_Data_100_2,2017.7900000000002,49.70399999999999,8.8,6.2,7298.167830980647,4663.579953216463,370.0,63.6,5511.2,2816.4,2469.4,100.0,1.0,40.0,5.2,17.053800000000003
Gen_Data_100_3,1807.4899999999998,44.532,6.2,12.0,13011.59900421208,4560.370256197632,318.6,46.6,5324.4,2920.2,2451.6,100.0,1.0,40.0,11.0,17.267
Gen_Data_100_4,1988.15,48.926,3.4,8.6,9651.461033439346,4655.441805629534,368.2,54.0,5491.0,2846.2,2504.2,100.0,0.0,40.0,8.6,12.991
Gen_Data_100_5,1936.212,47.784000000000006,4.6,5.6,6693.554749337668,4657.493475410231,322.6,56.4,5452.8,2482.4,2401.6,100.0,0.0,40.0,5.6,16.7572
Gen_Data_100_6,1825.5399999999997,44.94200000000001,6.4,10.8,11848.85343198587,4648.273281428085,265.0,47.8,5370.8,3057.4,2663.0,100.0,0.0,40.0,10.8,17.7124
Gen_Data_100_7,1646.9579999999999,40.554,6.4,14.8,15786.708389396594,4725.743862275689,285.6,48.8,5441.8,2912.4,2462.2,100.0,2.0,40.0,12.8,16.1102
Gen_Data_100_8,1932.966,47.576,6.8,7.4,8422.583848342398,4739.416904032601,252.2,37.8,5461.6,2658.8,2384.2,100.0,0.0,40.0,7.4,13.278
Gen_Data_100_9,1796.4260000000002,44.278000000000006,8.0,7.4,8474.853955258703,4468.191855153207,421.4,55.2,5357.0,2636.0,2409.2,100.0,0.0,40.0,7.4,15.2304
Gen_Data_100_10,1638.5,40.348,4.2,17.6,18569.165425451112,4776.074200065572,281.6,30.6,5475.8,3260.6,2809.6,100.0,3.0,40.0,14.6,18.883799999999997
