ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_1,36.9,4.52,0,2,2221.646606373947,1142.200884219786,134,18,1368,599,564,20,1,8,1,14.359
Gen_Data_20_2,37.04,4.48,1,2,2194.5767195767194,1180.9112864894016,283,12,1557,497,423,20,0,8,2,5.714
Gen_Data_20_3,31.63,3.85,0,3,3175.595238095238,1079.1093282233014,215,12,1380,419,286,20,1,8,2,0.0
Gen_Data_20_4,26.69,3.25,0,2,2212.1282729367404,1093.931496210687,114,14,1298,515,450,20,1,8,1,8.889
Gen_Data_20_5,26.44,3.21,0,3,3172.7522281639926,1236.110660994745,255,6,1578,426,318,20,1,8,2,0.0
Gen_Data_20_6,29.23,3.56,1,2,2230.6944156472455,1183.1638739837829,216,32,1490,473,488,20,0,8,2,11.429
Gen_Data_20_7,44.12,5.37,2,3,3171.5406162464988,994.8844381170154,392,4,1470,396,275,20,2,8,1,0.0
Gen_Data_20_8,40.75,5.0,1,2,2191.986013986014,1331.9679908328894,199,10,1626,490,368,20,1,8,1,0.0
Gen_Data_20_9,17.34,2.08,1,4,4161.764705882353,915.7212783020746,305,4,1301,449,278,20,1,8,3,0.0
Gen_Data_20_10,31.21,3.8,0,3,3176.4236111111113,968.4590382098531,254,2,1670,404,304,20,1,8,2,3.333
