ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_1,13725.789999999999,59.926,25.6,63.0,67666.12275435656,20096.317488080073,1013.2,53.6,23321.8,9352.8,10620.0,300.0,0.0,200.0,63.0,11.375399999999999
Gen_Data_500_2,13861.35,60.104000000000006,26.8,62.8,67521.3000410947,20051.53392209386,893.8,61.6,23149.0,9371.6,10929.0,300.0,0.0,200.0,62.8,13.498000000000001
Gen_Data_500_3,13827.905999999999,60.10200000000001,22.2,56.6,61319.57403615852,20179.21096503461,726.2,47.4,23141.8,8824.2,10056.8,300.0,1.0,200.0,55.6,10.345
Gen_Data_500_4,13828.456,59.926,33.2,57.6,62417.86160813606,20072.09136119092,1017.6,60.8,23329.0,9010.8,10546.2,300.0,0.0,200.0,57.6,12.5044
Gen_Data_500_5,13696.244,59.99400000000001,30.0,56.0,60937.132794805206,20142.622011910553,922.8,60.6,23306.4,10197.6,12448.0,300.0,1.0,200.0,55.0,18.6268
Gen_Data_500_6,13641.0,60.084,28.6,63.0,67714.89390278401,20388.011710503048,712.0,36.2,23301.0,9785.0,11415.0,300.0,1.0,200.0,62.0,13.9202
Gen_Data_500_7,13720.362,59.936,33.6,58.0,62741.83990984522,20185.317763313735,731.6,46.2,23150.0,9148.2,10515.8,300.0,0.0,200.0,58.0,11.5958
Gen_Data_500_8,13773.416000000001,59.992,26.0,58.4,63107.52125520872,20091.67485027943,888.6,32.6,23215.6,9269.6,10477.6,300.0,1.0,200.0,57.4,10.3354
Gen_Data_500_9,13675.541999999998,59.834,26.0,66.2,70959.24115313293,20050.773698890098,1064.0,62.4,23303.0,9580.2,11455.8,300.0,0.0,200.0,66.2,14.1782
Gen_Data_500_10,13642.597999999998,59.766,30.0,58.6,63452.0313448826,20194.096760408876,758.6,50.6,23180.6,9585.4,11492.8,300.0,0.0,200.0,58.6,15.4692
