ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_1,13765.05,59.84,23,61,65744.73667200921,20023.515436810096,1090,42,23327,9536,10966,300,0,200,61,12.815
Gen_Data_500_2,13952.36,60.12,32,57,61818.26146349788,19928.650693120835,826,57,22995,9606,11332,300,0,200,57,14.702
Gen_Data_500_3,13887.73,60.1,20,58,62659.81601951285,20132.08372271635,784,16,23137,8829,9908,300,1,200,57,9.83
Gen_Data_500_4,14023.22,60.07,35,50,54923.23498821232,19996.56037066146,1114,38,23384,9236,10954,300,0,200,50,14.001
Gen_Data_500_5,13728.4,60.07,27,56,60962.63875767798,20147.607220646343,978,106,23360,10265,12710,300,1,200,55,19.628
Gen_Data_500_6,13730.18,60.11,32,60,64704.296689211194,20433.827435090465,615,45,23261,9808,11308,300,1,200,59,13.254
Gen_Data_500_7,13804.05,59.9,39,59,63783.9992051127,20129.219763920166,739,69,23102,9195,10722,300,0,200,59,11.754
Gen_Data_500_8,13793.2,59.89,26,59,63619.169787052546,20189.498032040054,738,18,23157,9249,10144,300,1,200,58,8.536
Gen_Data_500_9,13763.92,59.77,23,69,73669.15845588347,20214.44591280583,1049,70,23432,9516,11218,300,0,200,69,14.718
Gen_Data_500_10,13830.74,59.79,31,56,60925.324340920604,20026.43622596472,753,43,23010,9646,11825,300,0,200,56,17.008
