ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,4208.32,20.1,6,54,56699.27240647946,10051.642450185085,2582,266,13873,7509,5496,300,0,120,54,10.745
Gen_Data_300_2,3752.05,20.07,2,75,77600.03653956659,9733.96663769815,3362,472,14230,7504,6557,300,1,120,74,15.071
Gen_Data_300_3,3623.24,20.07,3,67,69697.53071822049,10045.565287543226,2628,303,13846,7589,6601,300,0,120,67,16.126
Gen_Data_300_4,4189.83,20.12,4,50,52918.34840496808,10187.81941406916,2486,248,13939,7597,6606,300,1,120,49,18.617
Gen_Data_300_5,4351.25,20.11,2,67,69677.77608770443,10417.990591410136,2686,426,14281,7509,6229,300,0,120,67,13.142
Gen_Data_300_6,4321.45,20.1,1,64,66687.69291813516,10207.765098117847,2603,188,14006,6953,5854,300,0,120,64,12.601
Gen_Data_300_7,3740.64,20.07,0,66,68718.97585119378,10348.855109427263,2534,372,14078,7753,6467,300,1,120,65,13.43
Gen_Data_300_8,3709.42,20.07,6,61,63817.39575634905,10605.282141659714,2130,394,13953,8265,7357,300,0,120,61,17.497
Gen_Data_300_9,4406.74,20.1,1,71,73655.95059184903,10017.8989285136,2999,297,14187,7275,6303,300,1,120,70,12.631
Gen_Data_300_10,4214.08,20.1,5,56,58661.84541291888,10551.248433577663,2195,190,13984,7560,5824,300,1,120,55,10.912
