ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_1,164.71,20.09,1,3,3207.6435897435895,1082.7305619239735,341,68,1509,569,518,20,1,8,2,6.667
Gen_Data_20_2,164.49,20.14,1,1,1211.5625,1122.7908142623394,131,57,1351,616,516,20,0,8,1,3.333
Gen_Data_20_3,164.34,20.07,2,2,2180.78125,1213.304321073596,266,5,1570,574,364,20,1,8,1,0.0
Gen_Data_20_4,164.01,20.09,0,4,4173.488372093023,953.0097059247413,446,0,1479,472,437,20,3,8,1,6.667
Gen_Data_20_5,163.86,20.1,1,3,3206.1360907999565,1062.0268273655854,157,0,1309,594,535,20,0,8,3,10.0
Gen_Data_20_6,163.56,20.09,0,3,3188.843137254902,957.550895604662,200,0,1244,588,468,20,3,8,0,10.0
Gen_Data_20_7,165.2,20.14,1,2,2180.0,1058.7411251801323,296,0,1447,420,208,20,0,8,2,0.0
Gen_Data_20_8,165.01,20.15,1,3,3179.8039215686276,1024.981740124187,250,0,1362,562,353,20,0,8,3,5.0
Gen_Data_20_9,164.84,20.14,0,3,3183.5416666666665,953.5396026870353,242,0,1285,452,375,20,2,8,1,3.333
Gen_Data_20_10,164.15,20.08,2,4,4203.00113889211,1068.4528575064312,286,0,1438,425,446,20,3,8,1,13.524
