ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,4063.174,20.102,5.2,61.0,63636.60894163533,10108.681348413247,2750.0,252.4,14063.8,7021.2,5322.0,300.0,0.0,120.0,61.0,9.9648
Gen_Data_300_2,3920.898,20.094,3.6,70.6,73308.2083265068,10085.460410019663,2978.6,422.8,14224.6,7830.6,7025.4,300.0,0.4,120.0,70.2,17.2364
Gen_Data_300_3,3917.114,20.095999999999997,3.0,61.8,64550.93740165895,10183.71784159735,2591.4,281.6,13984.8,7821.2,6863.2,300.0,0.2,120.0,61.6,16.9676
Gen_Data_300_4,3848.572,20.096,5.0,51.6,54460.142785111246,10141.452380407904,2661.4,301.8,14065.0,7494.0,6330.0,300.0,0.8,120.0,50.8,14.6928
Gen_Data_300_5,4155.132,20.1,2.4,68.4,71013.57193431412,10210.271945350814,2765.8,230.4,14148.0,7235.8,5924.6,300.0,0.4,120.0,68.0,13.0994
Gen_Data_300_6,4120.876,20.102,3.8,61.2,63880.8617009558,10137.9043189754,2582.4,243.2,13927.4,7080.2,5767.0,300.0,0.0,120.0,61.2,11.919799999999999
Gen_Data_300_7,4049.4619999999995,20.102,0.6,75.4,77970.58902729204,10111.884090853602,2841.6,352.4,14096.0,7355.2,6147.6,300.0,0.8,120.0,74.6,12.3202
Gen_Data_300_8,3879.3520000000003,20.092,4.6,66.0,68818.92022662963,10281.018929158834,2491.2,438.8,13964.6,8020.0,7569.0,300.0,0.8,120.0,65.2,19.604599999999998
Gen_Data_300_9,4060.906,20.096,0.8,69.2,71874.0837498978,10205.198540019202,2737.2,247.6,14118.4,7460.0,6387.0,300.0,1.2,120.0,68.0,14.852799999999998
Gen_Data_300_10,4024.7460000000005,20.101999999999997,4.6,62.8,65442.72945859046,10216.85580635817,2696.2,215.4,14116.2,7465.4,5903.0,300.0,0.4,120.0,62.4,11.6592
