ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,4139.14,20.11,6,72,74543.16907924307,9604.373761420518,3097,351,13848,6887,5231,300,0,120,72,11.4
Gen_Data_300_2,3841.42,20.09,5,55,57833.129768166924,10374.763814187738,2528,246,14134,8410,7137,300,0,120,55,18.797
Gen_Data_300_3,4378.09,20.12,3,60,62715.15270836662,10030.116326865864,2764,289,14011,7952,6489,300,0,120,60,14.498
Gen_Data_300_4,3956.53,20.09,2,55,57699.4670191298,9964.97800361543,2840,313,14041,7416,5663,300,0,120,55,11.859
Gen_Data_300_5,3796.01,20.08,7,65,67673.87194791439,10263.499755783814,2692,218,14138,7535,6194,300,0,120,65,15.307
Gen_Data_300_6,4091.86,20.11,3,76,78424.7912059135,9600.465061277124,3251,192,13978,6922,4949,300,0,120,76,8.602
Gen_Data_300_7,4406.24,20.13,2,78,80532.04275967408,10110.20569607072,2853,503,14101,7411,6338,300,0,120,78,12.91
Gen_Data_300_8,3761.51,20.09,3,81,83552.67163927256,10393.83328078381,2725,420,14234,7454,6942,300,0,120,81,15.243
Gen_Data_300_9,3799.39,20.08,3,66,68660.45631527792,9896.594946261126,3206,261,14292,7168,6332,300,0,120,66,16.457
Gen_Data_300_10,4064.19,20.1,0,65,67651.12823208922,9790.609995190614,3137,267,14116,7025,5886,300,0,120,65,12.098
