ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_1,10033.382,20.223999999999997,0.8,146.0,149997.41171504953,15469.686056689698,5647.8,600.0,22913.2,11232.6,8683.8,500.0,0.4,200.0,145.6,10.780000000000001
Gen_Data_500_2,10225.388,20.238,0.0,151.4,155403.4502843715,15754.683923523597,5381.4,621.6,22916.8,11508.0,9349.0,500.0,3.0,200.0,148.4,11.661
Gen_Data_500_3,10021.632000000001,20.220000000000002,1.0,145.0,149065.47075701278,15692.697109874149,5572.4,575.0,23073.2,11874.2,9703.6,500.0,1.8,200.0,143.2,13.391200000000001
Gen_Data_500_4,10266.706,20.247999999999998,0.4,143.4,147491.98105799634,15589.449709890614,5511.0,640.8,22918.0,11563.4,9352.8,500.0,0.2,200.0,143.2,12.2108
Gen_Data_500_5,9845.970000000001,20.224000000000004,0.2,148.4,152304.39231545915,15260.60074149408,5929.0,465.0,22975.0,11351.0,8497.8,500.0,0.2,200.0,148.2,9.9344
Gen_Data_500_6,9838.264,20.218,1.0,149.4,153329.90981073788,15679.171820606989,5607.4,459.8,23067.2,11128.2,8468.6,500.0,5.0,200.0,144.4,11.153400000000001
Gen_Data_500_7,9912.188,20.224,1.8,131.8,136001.15880209015,15747.109871166202,5538.6,604.2,23155.0,11839.4,9708.2,500.0,0.2,200.0,131.6,13.12
Gen_Data_500_8,9993.896,20.228,1.2,140.6,144628.3541442916,15452.686399968748,5858.8,544.0,23141.6,11707.2,9025.8,500.0,0.2,200.0,140.4,10.346
Gen_Data_500_9,10173.944,20.234,1.4,138.6,142635.67294700336,15479.023812239664,5515.6,490.8,22829.8,11532.6,8836.6,500.0,1.8,200.0,136.8,10.552200000000001
Gen_Data_500_10,10000.137999999999,20.232,0.0,151.4,155492.54993352227,15700.972607878974,5534.0,617.4,23015.6,12053.6,10119.2,500.0,0.6,200.0,150.8,14.3168
