ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,3375.23,20.05,30,24,26915.460780415775,11880.125658524663,875,32,14151,5175,5792,180,0,120,24,8.6
Gen_Data_300_2,3492.6,20.07,28,20,23143.817968956602,12181.778947887928,446,43,14041,6548,8134,180,0,120,20,17.818
Gen_Data_300_3,3334.18,20.06,27,21,23988.008616562372,11852.74901923294,803,42,14061,6074,6972,180,0,120,21,12.041
Gen_Data_300_4,3331.11,20.05,27,13,16110.734131217421,11892.035344425125,810,23,14158,6013,7028,180,0,120,13,13.483
Gen_Data_300_5,3470.04,20.05,18,32,34815.71833919664,11881.587714950521,751,13,13998,5635,6355,180,0,120,32,9.272
Gen_Data_300_6,3355.57,20.05,33,15,18066.60826085451,11915.42919654112,667,40,14022,5830,6759,180,0,120,15,11.526
Gen_Data_300_7,3370.61,20.05,26,32,34968.26923014235,12241.5620227825,352,6,13960,6012,7205,180,0,120,32,12.268
Gen_Data_300_8,3399.38,20.06,26,27,29984.55868528861,12027.081963833423,549,14,13956,6622,7635,180,0,120,27,15.168
Gen_Data_300_9,3476.44,20.06,24,19,22018.72959631855,11799.686115466082,633,25,13859,6272,7289,180,0,120,19,12.319
Gen_Data_300_10,3332.61,20.06,20,29,31864.162151660777,11837.805791148006,780,30,13986,5813,6593,180,0,120,29,9.697
