ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_1,10348.99,20.24,1,150,153865.70558666764,15935.555144879836,5077,326,22794,10731,8270,500,2,200,148,9.391
Gen_Data_500_2,10789.12,20.26,0,154,157910.2860280368,15758.262019712236,5508,408,23021,11425,9047,500,3,200,151,12.178
Gen_Data_500_3,11556.43,20.24,0,151,155080.4960611722,15877.726674406034,5378,632,23033,11704,9812,500,3,200,148,12.953
Gen_Data_500_4,10818.57,20.28,0,155,158859.64929869506,15525.35516749491,5635,526,22928,11435,8583,500,2,200,153,9.242
Gen_Data_500_5,11228.52,20.26,1,140,144064.51050114803,15802.839121959574,5292,534,22906,11261,8959,500,1,200,139,11.869
Gen_Data_500_6,10718.09,20.24,1,160,163791.47060525243,16489.150245277735,4997,456,23212,10954,8276,500,8,200,152,8.075
Gen_Data_500_7,10762.52,20.25,0,146,150145.33147632287,14951.505127679533,6514,729,23258,11707,9492,500,1,200,145,13.415
Gen_Data_500_8,10542.22,20.27,0,127,131130.0859594384,15719.08007877449,5494,613,23118,12012,9183,500,2,200,125,9.309
Gen_Data_500_9,11177.57,20.26,2,145,148908.90772795182,16014.680093834937,5081,352,22898,11252,8625,500,5,200,140,10.324
Gen_Data_500_10,10793.31,20.25,0,136,140291.7321715166,15965.817740647783,5183,817,23017,12319,10247,500,3,200,133,14.287
