ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_1,861.43,20.05,12,16,16893.59834701785,4140.146007863232,111,42,4676,1766,2040,60,0,40,16,7.149
Gen_Data_100_2,844.02,20.03,17,11,12061.44881059869,3930.5799979809744,147,3,4534,1771,2492,60,0,40,11,17.721
Gen_Data_100_3,838.57,20.02,6,20,20894.05004341528,4103.575181148378,255,3,4765,1631,1915,60,0,40,20,12.161
Gen_Data_100_4,856.13,20.04,8,20,20845.210523846745,3978.157848262762,128,11,4511,1711,1971,60,0,40,20,8.452
Gen_Data_100_5,860.43,20.06,10,14,14940.782428514734,4119.676362379639,199,1,4759,1775,2051,60,0,40,14,8.827
Gen_Data_100_6,861.02,20.04,16,14,14990.27473278054,3868.28274518159,235,4,4536,1861,2410,60,0,40,14,20.007
Gen_Data_100_7,835.88,20.02,18,11,11974.203900962886,4017.8342792703406,211,24,4679,1914,2302,60,0,40,11,9.277
Gen_Data_100_8,857.19,20.03,13,13,13946.696707001769,3929.4876159264104,162,4,4534,1658,1912,60,0,40,13,9.373
Gen_Data_100_9,860.25,20.06,7,18,18962.16965542282,3940.7020160133875,312,25,4671,1855,2546,60,0,40,18,19.17
Gen_Data_100_10,835.25,20.02,9,16,16918.365267504818,3956.2969694610056,301,20,4681,1561,1913,60,0,40,16,10.565
