ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,3229.16,20.06,27,27,29909.12715579578,11695.738034367003,641,19,13717,5154,5949,180,0,120,27,10.414
Gen_Data_300_2,3218.49,20.05,29,14,17265.78087037314,11816.44664110641,605,134,13859,6575,8339,180,0,120,14,17.61
Gen_Data_300_3,3212.89,20.05,37,20,23035.146536302007,11999.879389343265,436,43,13852,6168,7282,180,0,120,20,13.353
Gen_Data_300_4,3096.58,20.05,36,14,17140.355857435512,12008.313397155982,696,30,14153,5949,7105,180,0,120,14,14.546
Gen_Data_300_5,3263.45,20.05,18,27,29897.48490646994,12046.576844110177,603,22,14023,5809,6612,180,0,120,27,9.268
Gen_Data_300_6,3246.75,20.05,24,18,21115.730418857303,11944.57931526808,459,59,13820,5800,7009,180,0,120,18,15.109
Gen_Data_300_7,3250.0,20.05,23,39,41774.69790644735,11932.102355751102,632,11,13879,5841,6590,180,0,120,39,10.137
Gen_Data_300_8,3209.11,20.06,25,25,28036.228174342155,11948.24930522622,469,9,13814,6906,8224,180,0,120,25,16.733
Gen_Data_300_9,3240.24,20.05,24,20,23042.606833999667,11881.147697336155,548,22,13846,6251,7367,180,0,120,20,14.307
Gen_Data_300_10,3263.21,20.06,17,29,31912.1796330409,11948.70582294293,645,62,13966,5791,6654,180,0,120,29,11.143
